Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
"192.168.5.2",56488,"31.13.73.169",443,5,370,5,5,370,0,0,2.4852119999999998,15.013805999999999,197,0,0
"192.168.5.2",56493,"31.13.73.169",443,5,370,10,5,370,0,0,2.735534,15.026922,196,0,0
"192.168.5.2",56489,"52.8.177.86",443,26,8134,6,15,3849,11,4285,2.498442,62.057845,496,552,6
"192.168.5.2",56524,"58.220.18.5",7826,96,17592,31,52,8469,44,9123,9.816539,235.630087,287,309,31
"192.168.5.2",56525,"60.167.59.24",443,32,10821,32,15,4365,17,6456,9.898727000000001,60.03893899999999,581,860,6
"192.168.5.2",56484,"64.233.189.188",5228,36,12743,1,17,3112,19,9631,2.46063,243.426393,102,316,4
"192.168.5.2",56521,"111.48.57.45",443,31,10113,28,14,3290,17,6823,9.501068,60.14302099999999,437,907,6
"192.168.5.2",56511,"112.21.164.39",443,111,67471,23,54,6649,57,60822,7.818136,237.683068,223,2047,6
"192.168.5.2",56681,"112.84.131.60",443,46,19895,59,18,3981,28,15914,242.256353,3.244124999999997,9817,39243,6
"192.168.5.2",56518,"114.112.216.174",443,124,47972,27,48,6744,76,41228,9.011834,181.373819,297,1818,16
"192.168.5.2",56482,"114.250.65.34",443,32,11794,0,14,3320,18,8474,0,2.07895,12775,32608,7
"192.168.5.2",56573,"114.250.65.34",443,324,197202,40,161,181745,163,15457,59.895998,185.629591,7832,666,21
"192.168.5.2",56513,"117.21.179.19",443,38,12204,25,17,4729,21,7475,8.902155,60.15139799999999,628,994,6
"192.168.5.2",56527,"117.169.96.198",443,58,15494,34,26,5508,32,9986,9.987535,120.35209400000001,366,663,12
"192.168.5.2",56654,"117.169.96.198",443,26,6111,49,14,4365,12,1746,190.288538,55.218501,632,252,6
"192.168.5.2",56499,"117.169.96.199",443,719,444997,15,314,64622,405,380375,6.182432,239.32299,2160,12715,115
"192.168.5.2",56501,"120.72.54.40",443,4641,4963243,17,1213,87976,3428,4875267,6.618103,125.70952899999999,5598,310256,100
"192.168.5.2",56506,"120.72.54.40",443,4955,5843441,18,1038,71203,3917,5772238,6.711468,238.788734,2385,193383,42
"192.168.5.2",56512,"120.72.54.40",443,47,16579,24,23,4186,24,12393,8.683135,121.21288800000002,276,817,10
"192.168.5.2",56678,"120.72.54.42",443,56,35782,58,24,4310,32,31472,242.253933,3.246306000000004,10621,77557,8
"192.168.5.2",56495,"121.43.167.86",443,43,13590,12,21,4328,22,9262,2.758062,180.101948,192,411,8
"192.168.5.2",56508,"121.248.114.34",443,41299,49866294,20,8254,652547,33045,49213747,6.931218,238.563811,21882,1650334,150
"192.168.5.2",56509,"121.248.114.44",443,6914,7466315,21,1912,169078,5002,7297237,6.933376,238.56345,5669,244705,138
"192.168.5.2",56661,"122.193.203.232",443,157,158198,52,45,4943,112,153255,198.37883,47.121306000000004,839,26018,6
"192.168.5.2",56660,"122.193.246.223",443,31,10328,51,15,3294,16,7034,198.325769,47.174672999999984,558,1192,6
"192.168.5.2",56673,"142.250.69.202",443,3,222,55,3,222,0,0,238.496304,3.020019999999988,588,0,0
