Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
198.18.0.1,51349,198.18.0.32,443,2868,858759,102,1163,129497,1705,729262,30.323839,36.552378,28342.0,159609.0,907
198.18.0.1,51268,198.18.1.4,443,45002,37531963,64,23237,23377421,21765,14154542,13.166962,53.707015,3482214.0,2108408.0,575
198.18.0.1,51351,198.18.0.36,443,276,52364,103,114,15787,162,36577,31.520309,35.356781,3572.0,8276.0,101
198.18.0.1,51274,198.18.0.41,443,1368,1008458,67,753,934093,615,74365,14.540157,52.334353,142788.0,11367.0,78
198.18.0.1,51276,198.18.0.32,443,705,357048,68,310,30120,395,326928,14.643437,52.23081,4613.0,50074.0,59
198.18.0.1,51171,198.18.0.10,443,2528,1862245,10,1063,85561,1465,1776684,2.5561730000000003,10.360309,66068.0,1371915.0,44
198.18.0.1,51278,198.18.0.36,443,923,657676,69,394,33730,529,623946,15.218501,51.65539,5223.0,96632.0,44
198.18.0.1,51328,198.18.1.7,443,167,84920,94,91,48620,76,36300,18.299166,48.578342000000006,8006.0,5977.0,29
198.18.0.1,51174,198.18.0.12,443,1469,1164510,13,626,43972,843,1120538,2.556682,9.748605,36084.0,919547.0,20
198.18.0.1,51224,198.18.0.27,443,92,30939,42,44,8448,48,22491,5.117521,7.173695,9421.0,25081.0,19
198.18.0.1,51284,198.18.0.38,443,67,13603,72,32,5991,35,7612,15.621146,51.253805,935.0,1188.0,19
198.18.0.1,51234,198.18.0.32,443,155,102698,47,66,8074,89,94624,6.523537,5.767274,11199.0,131256.0,17
198.18.0.1,51242,198.18.0.36,443,1335,1059323,51,573,48522,762,1010801,8.75753,3.533425000000001,109858.0,2288546.0,17
198.18.0.1,51322,198.18.0.111,443,99,47794,91,49,20606,50,27188,18.235463,48.642352,3388.0,4471.0,17
198.18.0.1,51260,198.18.0.10,443,91,45314,60,47,24541,44,20773,12.91801,53.957456,3638.0,3079.0,15
198.18.0.1,51286,198.18.0.11,443,178,114825,73,80,12197,98,102628,15.694366,51.183865,1906.0,16040.0,13
198.18.0.1,51266,198.18.0.27,443,67,20845,63,32,9355,35,11490,12.924657,53.95231600000001,1387.0,1703.0,13
198.18.0.1,51281,198.18.0.34,443,199,133992,71,87,8736,112,125256,15.542969,51.33166,1361.0,19521.0,13
198.18.0.1,51239,198.18.0.41,443,73,30350,50,35,12846,38,17504,8.739436,3.5523050000000005,28929.0,39420.0,13
198.18.0.1,51330,198.18.0.47,443,707,575005,95,293,27198,414,547807,18.365022,48.513898,4484.0,90334.0,13
198.18.0.1,51318,198.18.0.48,443,71,26153,89,32,4750,39,21403,17.863039,49.011041000000006,775.0,3493.0,13
198.18.0.1,51332,198.18.0.48,443,77,33074,96,37,12321,40,20753,18.467188,48.407236000000005,2036.0,3429.0,13
198.18.0.1,51208,198.18.0.18,443,46,16417,24,22,4820,24,11597,2.920047,9.387875,4107.0,9882.0,12
198.18.0.1,51258,198.18.0.24,443,60,19316,59,28,4243,32,15073,12.648681,54.227911000000006,625.0,2223.0,11
198.18.0.1,51365,198.18.0.28,443,59,30582,108,29,12473,30,18109,57.447289,9.429947999999996,10581.0,15362.0,11
198.18.0.1,51294,198.18.0.34,443,67,28440,77,30,4891,37,23549,16.010613,50.867884,769.0,3703.0,11
198.18.0.1,51297,198.18.0.41,443,41,7603,79,19,3855,22,3748,16.288033,50.589919,609.0,592.0,11
198.18.0.1,51184,198.18.0.13,443,269,159970,19,119,10809,150,149161,2.563614,9.739655,8878.0,122518.0,10
198.18.0.1,51310,198.18.0.110,443,62,24390,85,28,4217,34,20173,17.748508,49.128354,686.0,3284.0,10
198.18.0.1,51377,198.18.0.9,443,45,14596,113,23,10037,22,4559,60.180747,6.704349000000008,11976.0,5440.0,9
198.18.0.1,51172,198.18.0.11,443,44,16995,11,20,3888,24,13107,2.556356,9.734229,3195.0,10771.0,9
198.18.0.1,51261,198.18.0.16,443,48,11243,61,23,4763,25,6480,12.91905,53.957397,706.0,960.0,9
198.18.0.1,51212,198.18.0.19,443,50,23442,27,23,6144,27,17298,2.94391,9.347632,5258.0,14804.0,9
198.18.0.1,51290,198.18.0.30,443,321,238226,75,138,13423,183,224803,15.820294,51.05844999999999,2103.0,35222.0,9
198.18.0.1,51291,198.18.0.40,443,51,17778,76,23,3792,28,13986,15.821622,51.05697200000001,594.0,2191.0,9
198.18.0.1,51296,198.18.0.40,443,112,70353,78,50,11628,62,58725,16.286271,50.589755,1838.0,9286.0,9
198.18.0.1,51312,198.18.0.111,443,60,22130,86,27,4057,33,18073,17.752739,49.122965,660.0,2943.0,9
198.18.0.1,51225,198.18.1.4,443,39,15306,43,18,4325,21,10981,5.11887,7.172406,4824.0,12248.0,9
198.18.0.1,51320,198.18.1.6,443,48,17858,90,22,3652,26,14206,17.887506,48.986856,596.0,2319.0,9
198.18.0.1,51324,198.18.1.6,443,205,141569,92,90,13662,115,127907,18.238228,48.63594,2247.0,21039.0,9
198.18.0.1,51165,198.18.0.7,443,49,18612,1,23,6754,26,11858,0.139709,61.28498999999999,881.0,1547.0,8
198.18.0.1,51167,198.18.0.9,443,39,14637,3,18,3335,21,11302,0.569134,11.718991,2276.0,7715.0,7
198.18.0.1,51206,198.18.0.10,443,36,15112,23,17,3252,19,11860,2.785327,9.505571,2736.0,9981.0,7
198.18.0.1,51204,198.18.0.16,443,39,15162,22,18,3570,21,11592,2.751302,9.539106,2993.0,9721.0,7
198.18.0.1,51381,198.18.0.19,443,46,21470,115,22,7148,24,14322,61.724165,5.160840000000007,11080.0,22201.0,7
198.18.0.1,51254,198.18.0.21,443,50,18404,57,23,3744,27,14660,12.518824,54.356999,551.0,2157.0,7
198.18.0.1,51255,198.18.0.22,443,53,20210,58,25,7570,28,12640,12.519199,54.356876,1114.0,1860.0,7
198.18.0.1,51379,198.18.0.22,443,50,25672,114,24,12689,26,12983,60.493048,6.391986000000003,15881.0,16249.0,7
198.18.0.1,51334,198.18.0.31,443,41,16038,97,19,3858,22,12180,18.592282,48.28164,639.0,2018.0,7
198.18.0.1,51230,198.18.0.33,443,117,80964,45,50,5445,67,75519,6.426601,5.863947,7428.0,103028.0,7
198.18.0.1,51280,198.18.0.33,443,40,12781,70,20,4405,20,8376,15.542562,51.332352,686.0,1305.0,7
198.18.0.1,51232,198.18.0.34,443,162,116275,46,70,6633,92,109642,6.438786,5.852081999999999,9067.0,149884.0,7
198.18.0.1,51367,198.18.0.35,443,41,17883,109,19,3800,22,14083,57.689443,9.189352999999995,3308.0,12260.0,7
198.18.0.1,51371,198.18.0.35,443,45,21610,111,21,6383,24,15227,58.345679,8.531740000000006,5985.0,14277.0,7
198.18.0.1,51244,198.18.0.38,443,33,11629,52,15,3349,18,8280,9.096738,3.1947069999999997,8386.0,20734.0,7
198.18.0.1,51288,198.18.0.39,443,60,23913,74,27,3920,33,19993,15.818316,51.059798,614.0,3132.0,7
198.18.0.1,51300,198.18.0.39,443,56,24429,80,26,6128,30,18301,16.306723,50.568647,969.0,2895.0,7
198.18.0.1,51246,198.18.0.41,443,44,17204,53,20,3626,24,13578,9.874109,2.417726,11998.0,44928.0,7
198.18.0.1,51304,198.18.0.43,443,54,24425,82,25,3885,29,20540,16.651144,50.22618,618.0,3271.0,7
198.18.0.1,51308,198.18.0.43,443,50,20566,84,23,5753,27,14813,17.275687,49.59944399999999,927.0,2389.0,7
198.18.0.1,51338,198.18.0.44,443,106,62293,99,48,7488,58,54805,19.83777,47.036976,1273.0,9321.0,7
198.18.0.1,51217,198.18.0.72,443,41,18741,30,19,3381,22,15360,2.976479,9.314895,2903.0,13191.0,7
198.18.0.1,51236,198.18.0.72,443,64,41045,48,28,4760,36,36285,6.539281,5.751067,6621.0,50474.0,7
198.18.0.1,51270,198.18.0.72,443,49,24509,65,23,6074,26,18435,13.344207,53.531789,907.0,2754.0,7
198.18.0.1,51272,198.18.0.85,443,46,18959,66,22,5770,24,13189,13.52708,53.34920700000001,865.0,1977.0,7
198.18.0.1,51369,198.18.0.86,443,46,23533,110,21,4068,25,19465,58.230288,8.648747999999998,3762.0,18004.0,7
198.18.0.1,51326,198.18.0.110,443,73,31885,93,34,9017,39,22868,18.266493,48.611862,1483.0,3763.0,7
