No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Server Name,TCP Stream index,UDP Stream index,TCP Segment Len,Info
1,0.0,23.56.4.72,192.168.5.2,TCP,74,80.0,60761.0,,0.0,,0.0,"80  >  60761 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1440 SACK_PERM TSval=3250876704 TSecr=1397738614 WS=128"
2,4.1e-05,192.168.5.2,23.56.4.72,TCP,78,60761.0,80.0,,0.0,,0.0,60761  >  80 [ACK] Seq=112 Ack=1 Win=513 Len=0 TSval=1397739063 TSecr=3250876527 SLE=0 SRE=1
3,0.095475,23.56.4.72,192.168.5.2,TCP,66,80.0,60761.0,,0.0,,0.0,80  >  60761 [ACK] Seq=1 Ack=112 Win=65152 Len=0 TSval=3250876799 TSecr=1397738886
4,0.096047,23.56.4.72,192.168.5.2,TCP,66,80.0,60761.0,,0.0,,0.0,"[TCP Previous segment not captured] 80  >  60761 [FIN, ACK] Seq=188 Ack=112 Win=65152 Len=0 TSval=3250876800 TSecr=1397738886"
5,0.096047,23.56.4.72,192.168.5.2,TCP,253,80.0,60761.0,,0.0,,187.0,"[TCP Out-Of-Order] 80  >  60761 [PSH, ACK] Seq=1 Ack=112 Win=65152 Len=187 TSval=3250876800 TSecr=1397738886"
6,0.096081,192.168.5.2,23.56.4.72,TCP,66,60761.0,80.0,,0.0,,0.0,[TCP Dup ACK 2#1] 60761  >  80 [ACK] Seq=112 Ack=1 Win=513 Len=0 TSval=1397739159 TSecr=3250876799
7,0.09618,192.168.5.2,23.56.4.72,TCP,66,60761.0,80.0,,0.0,,0.0,60761  >  80 [ACK] Seq=112 Ack=189 Win=512 Len=0 TSval=1397739159 TSecr=3250876800
8,0.096227,192.168.5.2,23.56.4.72,TCP,66,60761.0,80.0,,0.0,,0.0,"60761  >  80 [FIN, ACK] Seq=112 Ack=189 Win=512 Len=0 TSval=1397739159 TSecr=3250876800"
9,0.115596,192.168.5.2,20.42.73.25,TCP,1494,60760.0,443.0,,1.0,,1428.0,60760  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1428 TSval=1397739178 TSecr=1932433841 [TCP PDU reassembled in 12]
10,0.115596,192.168.5.2,20.42.73.25,TCP,1494,60760.0,443.0,,1.0,,1428.0,60760  >  443 [ACK] Seq=1429 Ack=1 Win=511 Len=1428 TSval=1397739178 TSecr=1932433841 [TCP PDU reassembled in 12]
11,0.115596,192.168.5.2,20.42.73.25,TCP,1494,60760.0,443.0,,1.0,,1428.0,60760  >  443 [ACK] Seq=2857 Ack=1 Win=511 Len=1428 TSval=1397739178 TSecr=1932433841 [TCP PDU reassembled in 12]
12,0.115596,192.168.5.2,20.42.73.25,TLSv1.2,301,60760.0,443.0,,1.0,,235.0,Application Data
13,0.118124,192.168.5.2,20.189.173.14,TCP,74,60763.0,443.0,,2.0,,0.0,60763  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM TSval=1397739181 TSecr=0
14,0.258872,20.189.173.14,192.168.5.2,TCP,74,443.0,60763.0,,2.0,,0.0,"443  >  60763 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM TSval=1858049611 TSecr=1397739181"
15,0.258947,192.168.5.2,20.189.173.14,TCP,66,60763.0,443.0,,2.0,,0.0,60763  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=1397739322 TSecr=1858049611
16,0.259228,192.168.5.2,20.189.173.14,TCP,1494,60763.0,443.0,,2.0,,1428.0,60763  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=1428 TSval=1397739322 TSecr=1858049611 [TCP PDU reassembled in 17]
17,0.259228,192.168.5.2,20.189.173.14,TLSv1.3,571,60763.0,443.0,mobile.events.data.microsoft.com,2.0,,505.0,Client Hello (SNI=mobile.events.data.microsoft.com)
18,0.36458,20.42.73.25,192.168.5.2,TCP,66,443.0,60760.0,,1.0,,0.0,443  >  60760 [ACK] Seq=1 Ack=2857 Win=16388 Len=0 TSval=1932435590 TSecr=1397739178
19,0.36458,20.42.73.25,192.168.5.2,TCP,66,443.0,60760.0,,1.0,,0.0,443  >  60760 [ACK] Seq=1 Ack=4520 Win=16388 Len=0 TSval=1932435590 TSecr=1397739178
20,0.36458,20.42.73.25,192.168.5.2,TLSv1.2,512,443.0,60760.0,,1.0,,446.0,Application Data
