Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,61105,221.5.100.174,2011,3018,3115982,54,941,301881,2077,2814101,12.033479,29.30793,82402,768147,99
192.168.5.2,58499,120.53.53.53,443,247,51083,4,125,13264,122,37819,1.104591,35.96638,2950,8412,64
192.168.5.2,59490,223.5.5.5,443,227,32653,5,108,12081,119,20572,1.104591,35.919709,2690,4581,64
192.168.5.2,61009,221.5.100.174,2011,1117,1122786,7,329,65522,788,1057264,3.33847,8.52167,61510,992541,42
192.168.5.2,61131,221.5.100.174,2011,467,415702,69,174,44282,293,371420,14.409074,26.931506,13153,110330,35
192.168.5.2,61149,221.5.100.174,2011,260,145123,78,122,86399,138,58724,14.789861,26.553314,26030,17692,35
192.168.5.2,61113,221.5.100.174,2011,289,157661,60,146,130740,143,26921,13.993012,27.348443000000003,38244,7874,34
192.168.5.2,61175,221.5.100.174,2011,31505,28607308,91,13125,1178118,18380,27429190,18.620962,22.724585000000005,414746,9656216,31
192.168.5.2,61118,221.5.100.174,2011,294,245940,61,114,26704,180,219236,14.078379,27.264867,7835,64327,27
192.168.5.2,61008,112.82.180.41,443,737,654286,8,207,18518,530,635768,3.338475,8.266960000000001,17920,615237,24
192.168.5.2,61136,221.5.100.174,2011,94,37530,71,42,20148,52,17382,14.453312,26.887885,5994,5171,21
192.168.5.2,61103,221.5.100.174,2011,96,57840,53,41,22217,55,35623,11.836021,29.506346,6023,9658,19
192.168.5.2,61143,221.5.100.174,2011,397,355629,75,144,37643,253,317986,14.742272,26.600937,11320,95631,19
192.168.5.2,61047,221.5.100.174,2011,78,44696,27,35,19102,43,25594,5.450595,6.187313,24698,33092,17
192.168.5.2,61060,221.5.100.174,2011,102,77530,32,43,16353,59,61177,6.486215,5.150857,25398,95016,17
192.168.5.2,61069,221.5.100.174,2011,537,565264,36,157,33357,380,531907,8.465023,3.172851999999999,84106,1341145,17
192.168.5.2,61120,221.5.100.174,2011,239,214818,63,88,22826,151,191992,14.079675,27.261582,6698,56340,17
192.168.5.2,61099,221.5.100.174,2011,92,52043,50,46,31001,46,21042,11.827719,29.514677,8402,5703,15
192.168.5.2,61129,221.5.100.174,2011,60,27200,68,28,14994,32,12206,14.396559,26.943854,4451,3624,15
192.168.5.2,61141,221.5.100.174,2011,52,22126,74,26,13929,26,8197,14.543815,26.798599,4158,2446,15
192.168.5.2,61173,221.5.100.174,2011,169,137765,90,66,21232,103,116533,18.569218,22.774081,7458,40935,15
192.168.5.2,61177,221.5.100.174,2011,392,382528,92,134,27809,258,354719,18.628703,22.714628,9794,124930,15
192.168.5.2,61066,221.5.100.174,2011,63,33889,34,30,20427,33,13462,8.444468,3.1934240000000003,51172,33724,13
192.168.5.2,61119,221.5.100.174,2011,88,58904,62,40,15632,48,43272,14.079486,27.264001000000004,4586,12697,13
192.168.5.2,61181,221.5.100.174,2011,57,29966,94,25,14750,32,15216,19.253366,22.090981,5341,5510,13
192.168.5.2,61133,221.5.100.174,2011,103,87668,70,39,12644,64,75024,14.425865,26.914525999999995,3758,22299,11
192.168.5.2,61183,221.5.100.174,2011,64,35655,95,32,18509,32,17146,19.533513,21.809768,6789,6289,11
192.168.5.2,61025,61.156.44.221,443,158,95482,16,76,9408,82,86074,3.343127,8.277321,9092,83190,10
