inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,51167,198.18.0.9,443,192.168.5.2,51168,221.5.100.174,2011
198.18.0.1,51175,198.18.0.12,443,192.168.5.2,51181,122.205.109.41,443
198.18.0.1,51174,198.18.0.12,443,192.168.5.2,51186,122.205.109.41,443
198.18.0.1,51184,198.18.0.13,443,192.168.5.2,51196,218.92.216.56,443
198.18.0.1,51173,198.18.0.12,443,192.168.5.2,51190,122.205.109.41,443
198.18.0.1,51178,198.18.0.12,443,192.168.5.2,51187,122.205.109.41,443
198.18.0.1,51176,198.18.0.12,443,192.168.5.2,51193,122.205.109.41,443
198.18.0.1,51177,198.18.0.12,443,192.168.5.2,51195,122.205.109.41,443
198.18.0.1,51183,198.18.0.14,443,192.168.5.2,51191,183.60.150.17,443
198.18.0.1,51171,198.18.0.10,443,192.168.5.2,51182,103.216.253.85,2011
198.18.0.1,51200,198.18.0.14,443,192.168.5.2,51202,183.60.150.17,443
198.18.0.1,51172,198.18.0.11,443,192.168.5.2,51179,103.216.253.85,2011
198.18.0.1,51201,198.18.0.15,443,192.168.5.2,51203,103.216.253.85,2011
198.18.0.1,51204,198.18.0.16,443,192.168.5.2,51205,103.216.253.85,2011
198.18.0.1,51206,198.18.0.10,443,192.168.5.2,51207,103.216.253.85,2011
198.18.0.1,51208,198.18.0.18,443,192.168.5.2,51209,121.43.167.86,443
198.18.0.1,51214,198.18.0.18,443,192.168.5.2,51215,121.43.167.86,443
198.18.0.1,51212,198.18.0.19,443,192.168.5.2,51213,103.216.253.85,2011
198.18.0.1,51217,198.18.0.72,443,192.168.5.2,51219,103.216.253.85,2011
198.18.0.1,51220,198.18.0.20,443,192.168.5.2,51221,103.216.253.85,2011
198.18.0.1,51222,198.18.0.20,443,192.168.5.2,51223,103.216.253.85,2011
198.18.0.1,51224,198.18.0.27,443,192.168.5.2,51226,103.216.253.85,2011
198.18.0.1,51225,198.18.1.4,443,192.168.5.2,51227,103.216.253.85,2011
198.18.0.1,51228,198.18.1.4,443,192.168.5.2,51229,103.216.253.85,2011
198.18.0.1,51230,198.18.0.33,443,192.168.5.2,51231,103.216.253.85,2011
198.18.0.1,51232,198.18.0.34,443,192.168.5.2,51233,103.216.253.85,2011
198.18.0.1,51234,198.18.0.32,443,192.168.5.2,51235,103.216.253.85,2011
198.18.0.1,51236,198.18.0.72,443,192.168.5.2,51237,103.216.253.85,2011
198.18.0.1,51239,198.18.0.41,443,192.168.5.2,51241,103.216.253.85,2011
198.18.0.1,51238,198.18.0.41,443,192.168.5.2,51240,103.216.253.85,2011
198.18.0.1,51242,198.18.0.36,443,192.168.5.2,51243,103.216.253.85,2011
198.18.0.1,51244,198.18.0.38,443,192.168.5.2,51245,103.216.253.85,2011
198.18.0.1,51246,198.18.0.41,443,192.168.5.2,51247,103.216.253.85,2011
198.18.0.1,51252,198.18.0.23,5228,192.168.5.2,51253,103.216.253.85,2011
198.18.0.1,51255,198.18.0.22,443,192.168.5.2,51257,103.216.253.85,2011
198.18.0.1,51254,198.18.0.21,443,192.168.5.2,51256,103.216.253.85,2011
198.18.0.1,51258,198.18.0.24,443,192.168.5.2,51259,103.216.253.85,2011
198.18.0.1,51260,198.18.0.10,443,192.168.5.2,51262,103.216.253.85,2011
198.18.0.1,51261,198.18.0.16,443,192.168.5.2,51264,103.216.253.85,2011
198.18.0.1,51266,198.18.0.27,443,192.168.5.2,51267,103.216.253.85,2011
198.18.0.1,51263,198.18.0.80,443,192.168.5.2,51265,103.216.253.85,2011
198.18.0.1,51268,198.18.1.4,443,192.168.5.2,51269,103.216.253.85,2011
198.18.0.1,51270,198.18.0.72,443,192.168.5.2,51271,103.216.253.85,2011
198.18.0.1,51272,198.18.0.85,443,192.168.5.2,51273,103.216.253.85,2011
198.18.0.1,51274,198.18.0.41,443,192.168.5.2,51275,103.216.253.85,2011
198.18.0.1,51276,198.18.0.32,443,192.168.5.2,51277,103.216.253.85,2011
