inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,54864,198.18.0.9,443,192.168.5.2,54865,221.5.100.174,2061,198.18.0.1,54864,198.18.0.9,443,37,14620,3,0.794705,4.787100000000001,7,clientservices.googleapis.com,192.168.5.2,54865,221.5.100.174,2061,38,17431,4,1.2309,4.83925,7
198.18.0.1,54875,198.18.0.13,443,192.168.5.2,54877,221.5.100.174,2061,198.18.0.1,54875,198.18.0.13,443,36,15788,12,2.736706,2.847893,7,accounts.google.com,192.168.5.2,54877,221.5.100.174,2061,42,21642,12,3.008824,3.063479,7
198.18.0.1,54876,198.18.0.14,443,192.168.5.2,54878,221.5.100.174,2061,198.18.0.1,54876,198.18.0.14,443,38,16928,13,2.737031,2.847707,7,www.google.com,192.168.5.2,54878,221.5.100.174,2061,44,20520,11,3.008824,3.064409,7
198.18.0.1,54879,198.18.0.15,443,192.168.5.2,54894,122.192.189.41,443,198.18.0.1,54879,198.18.0.15,443,20,9810,14,2.739777,0.0683099999999998,4,infinityicon.infinitynewtab.com,192.168.5.2,54894,122.192.189.41,443,22,8718,15,3.035121,0.0450409999999998,4
198.18.0.1,54882,198.18.0.15,443,192.168.5.2,54898,122.192.189.41,443,198.18.0.1,54882,198.18.0.15,443,1407,1105336,17,2.740501,2.855799,20,infinityicon.infinitynewtab.com,192.168.5.2,54898,122.192.189.41,443,696,654092,18,3.035162,2.830295,20
198.18.0.1,54883,198.18.0.15,443,192.168.5.2,54893,122.192.189.41,443,198.18.0.1,54883,198.18.0.15,443,18,8137,18,2.740733,0.0669089999999998,4,infinityicon.infinitynewtab.com,192.168.5.2,54893,122.192.189.41,443,22,8782,13,3.03507,0.0422979999999997,4
198.18.0.1,54880,198.18.0.15,443,192.168.5.2,54891,122.192.189.41,443,198.18.0.1,54880,198.18.0.15,443,20,9874,15,2.740049,0.0680040000000001,4,infinityicon.infinitynewtab.com,192.168.5.2,54891,122.192.189.41,443,22,8782,14,3.03507,0.0451319999999997,4
198.18.0.1,54881,198.18.0.15,443,192.168.5.2,54896,122.192.189.41,443,198.18.0.1,54881,198.18.0.15,443,20,9842,16,2.740279,0.070821,4,infinityicon.infinitynewtab.com,192.168.5.2,54896,122.192.189.41,443,22,8750,17,3.035162,0.0452589999999997,4
198.18.0.1,54884,198.18.0.15,443,192.168.5.2,54889,122.192.189.41,443,198.18.0.1,54884,198.18.0.15,443,15,7598,19,2.740965,0.0560839999999998,2,infinityicon.infinitynewtab.com,192.168.5.2,54889,122.192.189.41,443,16,7710,16,3.035162,0.0455349999999996,2
198.18.0.1,54885,198.18.0.16,443,192.168.5.2,54901,61.156.44.221,443,198.18.0.1,54885,198.18.0.16,443,261,150435,20,2.743967,2.8618020000000004,10,infinity-permanent.infinitynewtab.com,192.168.5.2,54901,61.156.44.221,443,112,87662,19,3.044128,2.83068,10
