,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,62480,198.18.0.72,443,192.168.5.2,62481,120.232.217.159,2011,198.18.0.1,62480,198.18.0.72,443,39,18517,24,3.504669,2.2870740000000005,7,accounts.youtube.com,192.168.5.2,62481,120.232.217.159,2011,37,19843,26,5.214662,2.3216400000000004,7
1,198.18.0.1,62503,198.18.0.114,443,192.168.5.2,62505,120.232.217.159,2011,198.18.0.1,62503,198.18.0.114,443,10876,8227966,46,11.937942,305.034073,342,www.youtube.com,192.168.5.2,62505,120.232.217.159,2011,6075,4983773,38,13.64609,305.064516,346
2,198.18.0.1,62506,198.18.0.114,443,192.168.5.2,62507,120.232.217.159,2011,198.18.0.1,62506,198.18.0.114,443,37,16136,47,11.940423,60.659245,4,www.youtube.com,192.168.5.2,62507,120.232.217.159,2011,36,15520,39,13.649253,60.692787,4
3,198.18.0.1,62509,198.18.0.115,443,192.168.5.2,62511,120.232.217.159,2011,198.18.0.1,62509,198.18.0.115,443,428,284396,49,12.143869,242.906565,18,i.ytimg.com,192.168.5.2,62511,120.232.217.159,2011,248,181188,41,13.855174,242.935512,18
4,198.18.0.1,62508,198.18.0.115,443,192.168.5.2,62510,120.232.217.159,2011,198.18.0.1,62508,198.18.0.115,443,10,2353,48,12.143679,0.0981919999999991,1,i.ytimg.com,192.168.5.2,62510,120.232.217.159,2011,21,10429,40,13.855022,0.0957969999999992,2
5,198.18.0.1,62515,198.18.0.156,443,192.168.5.2,62516,120.232.217.159,2011,198.18.0.1,62515,198.18.0.156,443,43,12248,52,12.227529,165.964207,4,rr5---sn-i3bssn7e.googlevideo.com,192.168.5.2,62516,120.232.217.159,2011,42,13371,44,13.935883,120.990043,4
6,198.18.0.1,62514,198.18.0.156,443,192.168.5.2,62517,120.232.217.159,2011,198.18.0.1,62514,198.18.0.156,443,43,12284,51,12.227337,165.96433199999998,4,rr5---sn-i3bssn7e.googlevideo.com,192.168.5.2,62517,120.232.217.159,2011,41,14392,43,13.935882,120.99028800000002,4
7,198.18.0.1,62531,198.18.0.136,443,192.168.5.2,62532,221.5.100.174,2011,198.18.0.1,62531,198.18.0.136,443,72930,58785351,60,13.443479,303.453434,129,rr2---sn-i3belnl7.googlevideo.com,192.168.5.2,62532,221.5.100.174,2011,29661,30634699,50,15.152681,303.488961,129
8,198.18.0.1,62530,198.18.0.136,443,192.168.5.2,62533,221.5.100.174,2011,198.18.0.1,62530,198.18.0.136,443,14032,11081128,59,13.442694,303.45415599999995,129,rr2---sn-i3belnl7.googlevideo.com,192.168.5.2,62533,221.5.100.174,2011,6198,5909811,49,15.152681,303.49222100000003,129
9,198.18.0.1,62540,198.18.0.121,443,192.168.5.2,62541,221.5.100.174,2011,198.18.0.1,62540,198.18.0.121,443,99,35191,65,13.971189,241.664878,10,yt3.ggpht.com,192.168.5.2,62541,221.5.100.174,2011,86,38978,53,15.68046,241.711343,10
10,198.18.0.1,62558,198.18.0.122,443,192.168.5.2,62559,221.5.100.174,2011,198.18.0.1,62558,198.18.0.122,443,79,20788,75,15.310285,240.162753,8,youtube.com,192.168.5.2,62559,221.5.100.174,2011,64,22633,61,17.01976,240.198139,8
11,198.18.0.1,62562,198.18.0.72,443,192.168.5.2,62563,221.5.100.174,2011,198.18.0.1,62562,198.18.0.72,443,92,27713,78,15.366462,240.525905,10,accounts.youtube.com,192.168.5.2,62563,221.5.100.174,2011,76,30468,62,17.075337,240.56320700000003,10
12,198.18.0.1,62784,198.18.0.135,443,192.168.5.2,62786,221.5.100.174,2011,198.18.0.1,62784,198.18.0.135,443,38,19146,155,315.878526,1.0939209999999662,7,suggestqueries-clients6.youtube.com,192.168.5.2,62786,221.5.100.174,2011,34,20457,131,317.586501,1.1345460000000005,7
13,198.18.0.1,63047,198.18.0.114,443,192.168.5.2,63049,221.5.100.174,2011,198.18.0.1,63047,198.18.0.114,443,10041,7878471,31,5.246974,7.158824000000001,75,www.youtube.com,192.168.5.2,63049,221.5.100.174,2011,4099,3671366,27,5.248829,7.195452,77
14,198.18.0.1,63046,198.18.0.114,443,192.168.5.2,63048,221.5.100.174,2011,198.18.0.1,63046,198.18.0.114,443,29,15791,30,5.246743,7.157036999999999,4,www.youtube.com,192.168.5.2,63048,221.5.100.174,2011,28,14525,28,5.248829,7.192859,4
15,198.18.0.1,63051,198.18.0.115,443,192.168.5.2,63053,221.5.100.174,2011,198.18.0.1,63051,198.18.0.115,443,536,389943,33,5.478433,6.927743,17,i.ytimg.com,192.168.5.2,63053,221.5.100.174,2011,236,219630,30,5.480432,6.963993,17
16,198.18.0.1,63050,198.18.0.115,443,192.168.5.2,63052,221.5.100.174,2011,198.18.0.1,63050,198.18.0.115,443,21,8949,32,5.476064,0.1047250000000001,3,i.ytimg.com,192.168.5.2,63052,221.5.100.174,2011,21,11514,29,5.48043,0.1392030000000002,3
17,198.18.0.1,63055,198.18.0.161,443,192.168.5.2,63058,221.5.100.174,2011,198.18.0.1,63055,198.18.0.161,443,26,11426,35,5.555742,6.847728999999999,4,rr1---sn-i3b7knlk.googlevideo.com,192.168.5.2,63058,221.5.100.174,2011,27,12668,32,5.556977,6.883985000000001,4
18,198.18.0.1,63056,198.18.0.161,443,192.168.5.2,63059,221.5.100.174,2011,198.18.0.1,63056,198.18.0.161,443,22,9383,36,5.555954,6.84755,4,rr1---sn-i3b7knlk.googlevideo.com,192.168.5.2,63059,221.5.100.174,2011,27,13568,33,5.557017,6.887219,4
