,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,59124,198.18.0.9,443,192.168.5.2,59125,221.5.100.174,2011,198.18.0.1,59124,198.18.0.9,443,39,14608,3,0.666137,11.654577,7,clientservices.googleapis.com,192.168.5.2,59125,221.5.100.174,2011,37,17594,5,0.665946,11.690061,7
1,198.18.0.1,59130,198.18.0.11,443,192.168.5.2,59136,183.240.139.64,2011,198.18.0.1,59130,198.18.0.11,443,48,19924,6,2.499664,9.824304,9,www.google.com,192.168.5.2,59136,183.240.139.64,2011,41,22995,8,2.504327,9.852218,9
2,198.18.0.1,59129,198.18.0.10,443,192.168.5.2,59133,183.240.139.64,2011,198.18.0.1,59129,198.18.0.10,443,2635,1948858,5,2.497808,10.11258,44,accounts.google.com,192.168.5.2,59133,183.240.139.64,2011,1161,1137407,7,2.500703,10.153787,44
3,198.18.0.1,59160,198.18.0.16,443,192.168.5.2,59161,221.5.100.174,2011,198.18.0.1,59160,198.18.0.16,443,41,15421,17,2.713661,9.611759,7,www.googleapis.com,192.168.5.2,59161,221.5.100.174,2011,36,16915,19,2.728044,9.631471,7
4,198.18.0.1,59162,198.18.0.10,443,192.168.5.2,59163,221.5.100.174,2011,198.18.0.1,59162,198.18.0.10,443,34,14856,18,2.737505,9.58806,7,accounts.google.com,192.168.5.2,59163,221.5.100.174,2011,32,16605,20,2.742161,9.619848,7
5,198.18.0.1,59166,198.18.0.19,443,192.168.5.2,59167,221.5.100.174,2011,198.18.0.1,59166,198.18.0.19,443,67,28997,22,2.907604,9.416299,15,clients4.google.com,192.168.5.2,59167,221.5.100.174,2011,70,37941,21,2.906221,9.454985,15
6,198.18.0.1,59180,198.18.0.28,443,192.168.5.2,59181,221.5.100.174,2011,198.18.0.1,59180,198.18.0.28,443,42,19101,30,5.171113,7.15476,7,drive.google.com,192.168.5.2,59181,221.5.100.174,2011,41,21639,27,5.169434,7.191468,7
7,198.18.0.1,59178,198.18.0.27,443,192.168.5.2,59179,221.5.100.174,2011,198.18.0.1,59178,198.18.0.27,443,101,42962,29,5.169065,7.157058000000001,19,optimizationguide-pa.googleapis.com,192.168.5.2,59179,221.5.100.174,2011,87,48850,26,5.167643,7.196559000000001,19
8,198.18.0.1,59182,198.18.0.28,443,192.168.5.2,59183,221.5.100.174,2011,198.18.0.1,59182,198.18.0.28,443,27,14700,31,5.173314,0.1024759999999993,3,drive.google.com,192.168.5.2,59183,221.5.100.174,2011,21,13146,28,5.171348,0.1424070000000004,3
9,198.18.0.1,59184,198.18.0.33,443,192.168.5.2,59185,221.5.100.174,2011,198.18.0.1,59184,198.18.0.33,443,116,76444,32,6.090749,6.235531000000001,7,lh3.googleusercontent.com,192.168.5.2,59185,221.5.100.174,2011,74,59064,29,6.088909,6.275208999999999,7
10,198.18.0.1,59186,198.18.0.34,443,192.168.5.2,59187,221.5.100.174,2011,198.18.0.1,59186,198.18.0.34,443,198,140963,33,6.113403,6.212622,7,fonts.gstatic.com,192.168.5.2,59187,221.5.100.174,2011,86,74676,30,6.111862,6.250102999999999,7
11,198.18.0.1,59188,198.18.0.32,443,192.168.5.2,59189,221.5.100.174,2011,198.18.0.1,59188,198.18.0.32,443,173,109111,34,6.134488,6.191133999999999,17,ssl.gstatic.com,192.168.5.2,59189,221.5.100.174,2011,103,79373,31,6.132603,6.227601,17
12,198.18.0.1,59192,198.18.0.41,443,192.168.5.2,59194,221.5.100.174,2011,198.18.0.1,59192,198.18.0.41,443,65,28981,37,8.7392,3.584491,15,play.google.com,192.168.5.2,59194,221.5.100.174,2011,66,36810,35,8.737558,3.6202229999999993,15
13,198.18.0.1,59193,198.18.0.41,443,192.168.5.2,59195,221.5.100.174,2011,198.18.0.1,59193,198.18.0.41,443,10,2357,38,8.739386,0.0979790000000004,1,play.google.com,192.168.5.2,59195,221.5.100.174,2011,19,11486,34,8.737553,0.0994860000000006,2
14,198.18.0.1,59196,198.18.0.36,443,192.168.5.2,59197,221.5.100.174,2011,198.18.0.1,59196,198.18.0.36,443,1219,979885,39,8.759453,3.5663400000000003,17,www.gstatic.com,192.168.5.2,59197,221.5.100.174,2011,552,566952,36,8.759173,3.603524,17
15,198.18.0.1,59198,198.18.0.38,443,192.168.5.2,59199,221.5.100.174,2011,198.18.0.1,59198,198.18.0.38,443,38,15118,40,9.073758,3.251787,7,content-autofill.googleapis.com,192.168.5.2,59199,221.5.100.174,2011,34,17762,37,9.071822,3.288361,7
16,198.18.0.1,59200,198.18.0.41,443,192.168.5.2,59201,221.5.100.174,2011,198.18.0.1,59200,198.18.0.41,443,43,17026,41,9.551759,2.7741999999999987,8,play.google.com,192.168.5.2,59201,221.5.100.174,2011,37,18645,38,9.551092,2.8130740000000003,8
17,198.18.0.1,59206,198.18.0.21,443,192.168.5.2,59208,221.5.100.174,2011,198.18.0.1,59206,198.18.0.21,443,10,2265,45,12.245178,0.0777550000000015,1,clients2.google.com,192.168.5.2,59208,221.5.100.174,2011,21,13135,41,12.245747,0.0934340000000002,2
18,198.18.0.1,59207,198.18.0.22,443,192.168.5.2,59209,221.5.100.174,2011,198.18.0.1,59207,198.18.0.22,443,10,2267,46,12.245385,0.0776810000000001,1,update.googleapis.com,192.168.5.2,59209,221.5.100.174,2011,20,10543,42,12.2461,0.0966520000000006,2
19,198.18.0.1,59210,198.18.0.21,443,192.168.5.2,59213,221.5.100.174,2011,198.18.0.1,59210,198.18.0.21,443,39,17788,47,12.323291,0.2862980000000004,6,clients2.google.com,192.168.5.2,59213,221.5.100.174,2011,35,19782,44,12.322528,0.3225540000000002,6
20,198.18.0.1,59211,198.18.0.22,443,192.168.5.2,59212,221.5.100.174,2011,198.18.0.1,59211,198.18.0.22,443,42,19541,48,12.323451,0.2959569999999996,6,update.googleapis.com,192.168.5.2,59212,221.5.100.174,2011,41,21460,43,12.322524,0.331766,6
