,Name,MetaLength,WLANLength,ConnLength,Meta-Conn,WLAN-Conn
0,24-11-07--10-19-16,172,163,89,0.4826,0.454
1,24-11-07--10-25-29,176,139,82,0.5341,0.4101
2,24-11-07--10-32-20,143,135,78,0.4545,0.4222
3,24-11-07--11-08-34,179,148,92,0.486,0.3784
4,24-11-07--11-24-21,193,166,107,0.4456,0.3554
5,24-11-07--11-31-59,183,162,110,0.3989,0.321
6,24-11-07--15-15-47,102,99,83,0.1863,0.1616
7,24-11-07--15-36-37,101,92,70,0.3069,0.2391
8,24-11-07--15-38-38,101,87,72,0.2871,0.1724
9,24-11-07--15-41-25,109,98,82,0.2477,0.1633
10,24-11-07--15-42-58,111,101,84,0.2432,0.1683
11,24-11-07--15-46-14,95,84,72,0.2421,0.1429
12,24-11-07--15-52-05,157,133,64,0.5924,0.5188
13,24-11-07--15-58-43,157,142,69,0.5605,0.5141
14,24-11-07--16-04-47,175,140,85,0.5143,0.3929
15,24-11-07--16-55-07,136,125,94,0.3088,0.248
16,24-11-07--17-01-16,73,64,46,0.3699,0.2812
17,24-11-07--17-06-23,119,104,88,0.2605,0.1538
