,Name,RawPorts,vNICPorts,ttPorts,NumRaw,NumNIC,NumTT,ImprovementNIC,improvementTT
0,24-11-07--10-19-16,"{'56412', '56653', '56460', '56464', '56651', '56339', '56462', '56398', '56436', '56367', '56628', '56354', '56442', '56402', '56410', '56337', '56522', '56327', '56617', '56544', '56325', '56491', '56470', '56450', '56414', '56440', '56528', '56458', '56534', '56422', '56465', '56335', '56406', '56542', '56524', '56338', '56438', '56540', '56497', '56392', '56404', '56475', '56560', '56331', '56424', '56363', '56361', '56562', '56594', '56415', '56359', '56426', '56541', '56454', '56408', '56468', '56418', '56369', '56536', '56372', '56636', '56430'}","{'56448', '56653', '56464', '56651', '56436', '56354', '56402', '56442', '56522', '56617', '56547', '56491', '56528', '56414', '56534', '56393', '56406', '56542', '56438', '56376', '56545', '56331', '56363', '56385', '56426', '56541', '56473', '56430', '56339', '56378', '56462', '56367', '56410', '56327', '56450', '56470', '56404', '56560', '56333', '56424', '56361', '56359', '56454', '56679', '56468', '56394', '56460', '56329', '56337', '56546', '56384', '56440', '56677', '56465', '56389', '56330', '56338', '56524', '56540', '56497', '56543', '56408', '56418', '56536', '56432', '56372', '56412', '56681', '56398', '56446', '56628', '56456', '56544', '56458', '56422', '56335', '56332', '56388', '56392', '56475', '56399', '56685', '56562', '56594', '56415', '56334', '56369', '56433', '56636'}","{'56448', '56653', '56464', '56651', '56436', '56354', '56442', '56402', '56522', '56617', '56547', '56491', '56528', '56414', '56534', '56406', '56393', '56542', '56438', '56376', '56545', '56331', '56363', '56385', '56426', '56541', '56473', '56430', '56339', '56462', '56378', '56367', '56410', '56327', '56470', '56450', '56404', '56560', '56333', '56424', '56361', '56359', '56454', '56679', '56468', '56394', '56460', '56329', '56337', '56546', '56384', '56440', '56677', '56465', '56389', '56330', '56524', '56338', '56540', '56497', '56543', '56408', '56418', '56536', '56372', '56432', '56412', '56681', '56398', '56446', '56628', '56456', '56544', '56325', '56458', '56422', '56335', '56332', '56388', '56392', '56475', '56399', '56685', '56562', '56594', '56415', '56334', '56369', '56433', '56636'}",62,89,90,0.4355,0.4516
1,24-11-07--10-25-29,"{'56999', '56947', '56940', '56939', '57057', '56854', '56955', '57075', '57070', '56963', '56935', '56885', '56979', '56893', '56886', '57069', '57092', '56930', '56945', '57074', '57073', '57005', '56923', '56878', '56861', '57083', '57071', '56965', '56880', '56941', '57061', '57001', '57055', '56985', '56995', '57067', '56879', '56924', '56992', '56933', '57072', '56991', '56970', '56925', '56929', '56953', '56864', '56891', '56856', '56919', '57003', '56987', '56844', '56949', '57022', '56981', '56903', '56897'}","{'56854', '56955', '56963', '56935', '56885', '56893', '56886', '56930', '56945', '57073', '57071', '56941', '56879', '56905', '56925', '56953', '56864', '56974', '56903', '56909', '56916', '56940', '56939', '56979', '57197', '56923', '57083', '56936', '56965', '56859', '56921', '56958', '56924', '57174', '56989', '56856', '56919', '57003', '56981', '56957', '56999', '57057', '57070', '57069', '56899', '57005', '56878', '56861', '56880', '57055', '56985', '56995', '56862', '56992', '56933', '56970', '56891', '56987', '56844', '56860', '56949', '56897', '56947', '57075', '56911', '57092', '57074', '56863', '56912', '57117', '57061', '57001', '56858', '57168', '56991', '57072', '56929', '56967', '57022', '56915', '56907', '57067'}","{'56854', '56955', '56963', '56935', '56885', '56893', '56886', '56930', '56945', '57073', '57071', '56941', '56879', '56905', '56925', '56953', '56864', '56974', '56903', '56909', '56916', '56940', '56939', '56979', '57197', '56923', '57083', '56965', '56936', '56859', '56921', '56958', '56924', '57174', '56989', '56856', '56919', '57003', '56981', '56957', '56999', '57057', '57070', '57069', '56899', '57005', '56878', '56861', '56880', '57055', '56985', '56995', '56862', '56992', '56933', '56970', '56891', '56987', '56844', '56860', '56949', '56897', '56947', '57075', '56911', '57092', '57074', '56863', '56912', '57117', '57061', '57001', '56858', '57168', '57072', '56991', '56929', '56967', '57022', '56915', '56907', '57067'}",58,82,82,0.4138,0.4138
2,24-11-07--10-32-20,"{'57442', '57369', '57395', '57393', '57443', '57435', '57432', '57545', '57496', '57482', '57606', '57474', '57488', '57468', '57434', '57428', '57375', '57486', '57484', '57464', '57430', '57455', '57444', '57556', '57424', '57616', '57378', '57466', '57618', '57439', '57394', '57559', '57547', '57520', '57400', '57448', '57472', '57470', '57452', '57377', '57450', '57408', '57550', '57402', '57478', '57363', '57490', '57504', '57406'}","{'57393', '57482', '57679', '57488', '57371', '57434', '57438', '57507', '57372', '57425', '57455', '57424', '57444', '57556', '57420', '57512', '57616', '57618', '57439', '57559', '57470', '57450', '57408', '57374', '57402', '57550', '57363', '57490', '57369', '57443', '57432', '57545', '57474', '57492', '57558', '57458', '57464', '57416', '57376', '57378', '57466', '57394', '57547', '57520', '57406', '57395', '57501', '57373', '57435', '57496', '57606', '57414', '57412', '57430', '57494', '57557', '57500', '57417', '57459', '57478', '57442', '57510', '57564', '57506', '57428', '57468', '57375', '57486', '57484', '57608', '57400', '57448', '57472', '57452', '57377', '57480', '57421', '57504'}","{'57393', '57395', '57501', '57373', '57435', '57496', '57482', '57679', '57606', '57488', '57434', '57371', '57438', '57507', '57414', '57372', '57412', '57425', '57430', '57455', '57444', '57556', '57424', '57420', '57512', '57616', '57494', '57557', '57618', '57439', '57559', '57470', '57500', '57417', '57450', '57408', '57374', '57550', '57402', '57478', '57459', '57363', '57490', '57442', '57369', '57443', '57510', '57432', '57545', '57474', '57564', '57506', '57492', '57468', '57428', '57558', '57375', '57486', '57458', '57484', '57464', '57416', '57376', '57378', '57466', '57394', '57547', '57608', '57520', '57400', '57448', '57472', '57452', '57377', '57480', '57421', '57504', '57406'}",49,78,78,0.5918,0.5918
3,24-11-07--11-08-34,"{'59260', '59049', '59268', '59146', '59164', '59060', '59183', '59118', '59130', '59178', '59156', '59182', '59161', '59090', '59151', '59066', '59129', '59158', '59050', '59160', '59035', '59105', '59188', '59086', '59098', '59134', '59180', '59119', '59170', '59117', '59095', '59274', '59172', '59100', '59226', '59230', '59094', '59120', '59131', '59266', '59150', '59068', '59176', '59052', '59137', '59214', '59174', '59071', '59152', '59220', '59092', '59224', '59206', '59167', '59051', '59099', '59128', '59114', '59344', '59186', '59190', '59027', '59208', '59139', '59141', '59021', '59030', '59062', '59258'}","{'59268', '59164', '59182', '59151', '59066', '59158', '59078', '59035', '59188', '59109', '59119', '59134', '59172', '59094', '59120', '59068', '59052', '59152', '59220', '59092', '59206', '59099', '59114', '59186', '59030', '59060', '59034', '59166', '59118', '59212', '59090', '59050', '59160', '59098', '59115', '59170', '59226', '59266', '59195', '59176', '59137', '59214', '59174', '59082', '59029', '59224', '59051', '59031', '59344', '59027', '59141', '59021', '59062', '59080', '59260', '59146', '59076', '59156', '59102', '59161', '59074', '59180', '59274', '59230', '59083', '59144', '59071', '59116', '59128', '59190', '59208', '59129', '59087', '59049', '59142', '59183', '59130', '59178', '59032', '59105', '59086', '59117', '59095', '59100', '59131', '59103', '59101', '59150', '59033', '59167', '59139', '59258'}","{'59268', '59164', '59182', '59151', '59066', '59158', '59078', '59035', '59188', '59134', '59119', '59109', '59172', '59094', '59120', '59068', '59052', '59152', '59220', '59092', '59206', '59099', '59114', '59186', '59030', '59060', '59034', '59166', '59118', '59212', '59090', '59050', '59160', '59098', '59170', '59115', '59226', '59266', '59195', '59176', '59137', '59214', '59174', '59082', '59224', '59029', '59051', '59031', '59344', '59027', '59141', '59021', '59062', '59080', '59260', '59146', '59076', '59156', '59102', '59161', '59074', '59180', '59274', '59230', '59083', '59144', '59071', '59116', '59128', '59190', '59208', '59129', '59087', '59049', '59142', '59183', '59130', '59178', '59032', '59105', '59086', '59117', '59095', '59100', '59131', '59103', '59101', '59150', '59033', '59167', '59139', '59258'}",69,92,92,0.3333,0.3333
4,24-11-07--11-24-21,"{'60316', '60303', '60224', '60329', '60262', '60391', '60247', '60234', '60174', '60178', '60389', '60393', '60399', '60182', '60299', '60263', '60403', '60290', '60255', '60256', '60369', '60309', '60355', '60452', '60289', '60223', '60273', '60268', '60323', '60232', '60394', '60407', '60333', '60267', '60282', '60385', '60463', '60379', '60244', '60305', '60359', '60257', '60331', '60324', '60397', '60261', '60287', '60436', '60241', '60339', '60438', '60285', '60401', '60186', '60189', '60228', '60365', '60211', '60301', '60441', '60187', '60297', '60269', '60277', '60205', '60183', '60209', '60416', '60172', '60239', '60221', '60378', '60293', '60274', '60311', '60233', '60363', '60181', '60307'}","{'60316', '60279', '60224', '60303', '60329', '60278', '60262', '60238', '60391', '60247', '60177', '60234', '60174', '60346', '60178', '60389', '60393', '60399', '60182', '60299', '60263', '60403', '60290', '60179', '60335', '60255', '60256', '60451', '60349', '60369', '60309', '60215', '60227', '60355', '60345', '60180', '60452', '60561', '60289', '60223', '60273', '60240', '60353', '60268', '60323', '60232', '60356', '60394', '60407', '60333', '60267', '60282', '60385', '60463', '60379', '60244', '60305', '60359', '60257', '60331', '60230', '60324', '60397', '60350', '60261', '60176', '60287', '60436', '60241', '60339', '60438', '60229', '60285', '60401', '60337', '60186', '60189', '60228', '60365', '60211', '60301', '60441', '60527', '60187', '60297', '60269', '60277', '60205', '60183', '60209', '60416', '60172', '60231', '60239', '60213', '60294', '60221', '60378', '60293', '60274', '60311', '60233', '60363', '60181', '60307', '60529', '60455'}","{'60316', '60279', '60303', '60224', '60329', '60278', '60262', '60391', '60238', '60247', '60177', '60234', '60174', '60346', '60178', '60389', '60393', '60399', '60182', '60299', '60263', '60403', '60290', '60179', '60335', '60255', '60256', '60451', '60349', '60369', '60309', '60215', '60355', '60227', '60345', '60180', '60452', '60561', '60289', '60223', '60273', '60240', '60353', '60268', '60323', '60232', '60356', '60394', '60407', '60333', '60267', '60282', '60385', '60463', '60379', '60244', '60305', '60359', '60257', '60331', '60230', '60324', '60397', '60350', '60261', '60176', '60287', '60436', '60241', '60339', '60438', '60229', '60285', '60401', '60337', '60186', '60189', '60228', '60365', '60211', '60301', '60441', '60527', '60187', '60297', '60269', '60277', '60205', '60183', '60209', '60416', '60172', '60231', '60239', '60213', '60294', '60221', '60378', '60293', '60274', '60311', '60233', '60363', '60181', '60307', '60529', '60455'}",79,107,107,0.3544,0.3544
5,24-11-07--11-31-59,"{'60790', '60898', '60797', '60905', '60840', '60807', '60893', '60887', '60849', '60863', '60993', '60799', '61013', '61038', '60907', '60882', '60831', '60919', '60769', '60872', '60874', '60833', '61052', '60939', '60855', '60792', '60801', '60901', '60848', '60923', '60764', '60774', '60837', '60944', '60832', '60871', '60827', '60891', '60924', '60921', '61011', '60929', '60839', '60865', '60892', '60961', '60791', '60852', '60868', '61040', '60909', '60935', '60987', '60766', '60915', '60864', '61051', '60989', '60956', '61044', '60953', '61007', '60975', '60883', '60934', '60927', '60971', '60910', '60773', '60913', '60959', '60899', '60896', '60955', '60847', '60991', '60931'}","{'60790', '60898', '60797', '60916', '60905', '60840', '61009', '60807', '60893', '60881', '60887', '60849', '60863', '60993', '60799', '61013', '61038', '60907', '60824', '60882', '60831', '60919', '60819', '60769', '60872', '60820', '60874', '60833', '61052', '60815', '60939', '60855', '60771', '60792', '60978', '60823', '60853', '61003', '60801', '60901', '60848', '60817', '60923', '60764', '60774', '60867', '61050', '60770', '60837', '60944', '60866', '60772', '60832', '60871', '60827', '60884', '60891', '60924', '60983', '60854', '60921', '61011', '60929', '60839', '60865', '60892', '60933', '60961', '60791', '60768', '60852', '60868', '61040', '60909', '60935', '60987', '60766', '60804', '60915', '60864', '61051', '60989', '60956', '61120', '61044', '60972', '60953', '61007', '60975', '60883', '60934', '60927', '60971', '60910', '60773', '60913', '60959', '60999', '60965', '60899', '60896', '60955', '60828', '60997', '60991', '60847', '60777', '60850', '60931', '60963'}","{'60790', '60898', '60797', '60916', '60905', '60840', '61009', '60807', '60893', '60881', '60887', '60849', '60863', '60993', '60799', '61013', '61038', '60907', '60824', '60882', '60831', '60919', '60819', '60769', '60872', '60874', '60820', '60833', '61052', '60815', '60939', '60855', '60771', '60792', '60978', '60823', '60853', '60801', '61003', '60901', '60848', '60817', '60923', '60764', '60774', '60867', '61050', '60837', '60770', '60944', '60866', '60832', '60772', '60871', '60827', '60884', '60891', '60924', '60983', '60854', '60921', '61011', '60929', '60839', '60865', '60892', '60961', '60933', '60791', '60768', '60852', '60868', '61040', '60909', '60935', '60987', '60766', '60804', '60915', '60864', '61051', '60989', '60956', '61120', '61044', '60972', '60953', '61007', '60975', '60883', '60934', '60927', '60971', '60910', '60773', '60913', '60959', '60999', '60965', '60899', '60896', '60955', '60828', '60997', '60847', '60991', '60777', '60850', '60931', '60963'}",77,110,110,0.4286,0.4286
6,24-11-07--15-15-47,"{'59238', '59305', '59267', '59279', '59146', '59166', '59130', '59289', '59178', '59297', '59156', '59259', '59162', '59261', '59250', '59143', '59270', '59171', '59295', '59234', '59248', '59160', '59222', '59188', '59180', '59218', '59228', '59200', '59124', '59231', '59307', '59230', '59226', '59309', '59192', '59303', '59131', '59277', '59316', '59157', '59246', '59285', '59196', '59287', '59283', '59242', '59214', '59240', '59265', '59220', '59301', '59275', '59318', '59224', '59291', '59281', '59198', '59320', '59244', '59184', '59186', '59236', '59168', '59190', '59263', '59252', '59129'}","{'59279', '59162', '59259', '59182', '59132', '59188', '59134', '59210', '59277', '59157', '59220', '59206', '59281', '59193', '59135', '59186', '59238', '59166', '59250', '59171', '59270', '59160', '59228', '59231', '59226', '59307', '59309', '59192', '59176', '59283', '59137', '59214', '59174', '59242', '59275', '59318', '59224', '59291', '59244', '59263', '59305', '59273', '59146', '59261', '59289', '59297', '59156', '59295', '59234', '59180', '59124', '59230', '59303', '59316', '59246', '59285', '59196', '59287', '59265', '59198', '59184', '59190', '59236', '59207', '59129', '59267', '59211', '59130', '59178', '59143', '59248', '59222', '59218', '59200', '59131', '59138', '59240', '59215', '59301', '59320', '59269', '59168', '59252'}","{'59305', '59273', '59279', '59146', '59289', '59261', '59297', '59156', '59259', '59162', '59182', '59132', '59295', '59234', '59188', '59134', '59180', '59124', '59210', '59230', '59303', '59277', '59316', '59157', '59246', '59285', '59196', '59287', '59265', '59220', '59206', '59281', '59198', '59193', '59135', '59184', '59186', '59236', '59190', '59207', '59129', '59238', '59267', '59211', '59166', '59130', '59178', '59250', '59143', '59270', '59171', '59248', '59160', '59222', '59218', '59228', '59200', '59231', '59307', '59226', '59309', '59192', '59131', '59138', '59176', '59283', '59242', '59214', '59240', '59137', '59301', '59174', '59275', '59215', '59318', '59224', '59291', '59320', '59269', '59244', '59168', '59263', '59252'}",67,83,83,0.2388,0.2388
7,24-11-07--15-36-37,"{'60076', '60202', '60118', '60198', '60116', '60136', '60082', '60271', '60156', '60150', '60194', '60091', '60216', '60089', '60164', '60113', '60122', '60227', '60154', '60210', '60146', '60219', '60138', '60208', '60212', '60180', '60176', '60173', '60214', '60083', '60134', '60225', '60152', '60231', '60192', '60172', '60265', '60144', '60223', '60229', '60221', '60206', '60166', '60090', '60148', '60169', '60142', '60200', '60204', '60196', '60092', '60128', '60158', '60139', '60182', '60263'}","{'60086', '60076', '60202', '60118', '60198', '60116', '60136', '60082', '60088', '60271', '60194', '60150', '60156', '60091', '60089', '60216', '60124', '60164', '60087', '60113', '60084', '60227', '60122', '60154', '60210', '60146', '60183', '60085', '60219', '60138', '60208', '60130', '60212', '60168', '60176', '60173', '60180', '60083', '60214', '60134', '60178', '60225', '60152', '60172', '60192', '60231', '60265', '60144', '60223', '60229', '60221', '60166', '60206', '60090', '60148', '60169', '60142', '60200', '60204', '60196', '60092', '60126', '60128', '60182', '60186', '60188', '60139', '60158', '60189', '60263'}","{'60076', '60202', '60198', '60136', '60082', '60091', '60089', '60124', '60122', '60085', '60208', '60130', '60176', '60083', '60173', '60214', '60168', '60134', '60225', '60178', '60152', '60265', '60192', '60229', '60166', '60090', '60148', '60169', '60142', '60126', '60196', '60092', '60182', '60139', '60186', '60263', '60189', '60086', '60118', '60116', '60088', '60271', '60156', '60150', '60194', '60216', '60164', '60113', '60087', '60227', '60084', '60154', '60210', '60146', '60183', '60219', '60138', '60212', '60180', '60231', '60172', '60144', '60223', '60221', '60206', '60200', '60204', '60128', '60158', '60188'}",56,70,70,0.25,0.25
8,24-11-07--15-38-38,"{'60440', '60454', '60512', '60458', '60514', '60408', '60500', '60367', '60406', '60450', '60510', '60442', '60426', '60464', '60396', '60432', '60369', '60430', '60474', '60476', '60526', '60506', '60502', '60462', '60524', '60370', '60492', '60516', '60397', '60446', '60431', '60522', '60478', '60452', '60436', '60489', '60486', '60460', '60471', '60498', '60531', '60448', '60483', '60383', '60496', '60388', '60470', '60508', '60402', '60373', '60400', '60479', '60504', '60444', '60529', '60494'}","{'60440', '60417', '60454', '60512', '60458', '60514', '60408', '60500', '60367', '60510', '60450', '60406', '60442', '60426', '60464', '60396', '60432', '60412', '60369', '60430', '60474', '60476', '60506', '60526', '60374', '60502', '60414', '60423', '60462', '60524', '60370', '60492', '60372', '60375', '60446', '60376', '60516', '60397', '60431', '60522', '60478', '60416', '60452', '60482', '60436', '60483', '60460', '60486', '60471', '60489', '60498', '60448', '60488', '60438', '60371', '60496', '60383', '60531', '60388', '60470', '60508', '60402', '60427', '60373', '60400', '60479', '60494', '60504', '60444', '60422', '60529', '60455'}","{'60440', '60417', '60408', '60426', '60474', '60522', '60483', '60486', '60498', '60531', '60496', '60373', '60504', '60494', '60369', '60476', '60502', '60462', '60524', '60370', '60516', '60372', '60375', '60478', '60482', '60452', '60460', '60471', '60470', '60402', '60422', '60454', '60512', '60514', '60367', '60412', '60464', '60432', '60414', '60526', '60506', '60492', '60397', '60446', '60431', '60436', '60448', '60488', '60438', '60383', '60388', '60427', '60479', '60458', '60500', '60406', '60450', '60510', '60442', '60396', '60430', '60374', '60423', '60376', '60416', '60489', '60371', '60508', '60400', '60444', '60529', '60455'}",56,72,72,0.2857,0.2857
9,24-11-07--15-41-25,"{'60802', '60839', '60797', '60855', '60771', '60865', '60851', '60823', '60789', '60705', '60814', '60791', '60740', '60853', '60767', '60883', '60807', '60801', '60698', '60861', '60881', '60785', '60795', '60887', '60869', '60849', '60863', '60843', '60773', '60706', '60867', '60857', '60765', '60731', '60837', '60799', '60708', '60818', '60813', '60832', '60889', '60845', '60826', '60703', '60695', '60847', '60885', '60779', '60707', '60766', '60777', '60831', '60783', '60859', '60787', '60841', '60697', '60781', '60761', '60733', '60835', '60805', '60737'}","{'60797', '60705', '60747', '60699', '60807', '60698', '60795', '60881', '60887', '60869', '60849', '60863', '60706', '60857', '60753', '60799', '60813', '60845', '60779', '60831', '60783', '60819', '60733', '60825', '60805', '60802', '60855', '60754', '60771', '60792', '60823', '60853', '60767', '60801', '60817', '60829', '60867', '60745', '60837', '60708', '60772', '60832', '60826', '60758', '60707', '60787', '60701', '60839', '60865', '60789', '60791', '60700', '60843', '60889', '60766', '60859', '60781', '60761', '60851', '60814', '60702', '60740', '60762', '60883', '60785', '60861', '60757', '60773', '60731', '60818', '60704', '60743', '60703', '60695', '60847', '60885', '60777', '60841', '60697', '60835', '60765', '60737'}","{'60797', '60705', '60747', '60699', '60807', '60698', '60795', '60881', '60887', '60869', '60849', '60863', '60706', '60857', '60799', '60753', '60813', '60845', '60779', '60831', '60783', '60819', '60733', '60825', '60805', '60802', '60855', '60771', '60754', '60792', '60823', '60853', '60767', '60801', '60817', '60829', '60867', '60745', '60837', '60708', '60832', '60772', '60826', '60758', '60707', '60787', '60701', '60839', '60865', '60789', '60791', '60700', '60843', '60889', '60766', '60859', '60781', '60761', '60851', '60814', '60702', '60740', '60762', '60883', '60861', '60785', '60773', '60757', '60731', '60818', '60704', '60743', '60703', '60695', '60847', '60885', '60777', '60841', '60697', '60835', '60765', '60737'}",63,82,82,0.3016,0.3016
