,Name,Similarity,AverageSimilarity
0,24-11-07--10-19-16,"[0.6435875423525705, 0.6445628225630715, 0.6445628225630715, 0.6445617458226418, 0.6445617458226418, 0.6445566561660526, 0.6445566561660526, 0.644547592770439, 0.6445177006633257, 0.644496949489687, 0.644496949489687, 0.6444440294782774, 0.644496949489687, 0.644496949489687, 0.6442935862237267, 0.644496949489687, 0.644496949489687, 0.644547592770439, 0.6445628225630715, 0.8854100832127834, 0.88593046945631]",0.6674374078825046
1,24-11-07--10-25-29,"[0.6435875423525705, 0.6445628225630715, 0.6445628225630715, 0.6445617458226418, 0.6445617458226418, 0.6445566561660526, 0.6445566561660526, 0.643506883481542, 0.6434199554018285, 0.644496949489687, 0.644496949489687, 0.644496949489687, 0.644496949489687, 0.6444440294782774, 0.644496949489687, 0.644496949489687, 0.6442935862237267, 0.8816926914194789]",0.6575160463555043
2,24-11-07--10-32-20,"[0.6435875423525705, 0.6445628225630715, 0.6445628225630715, 0.6445617458226418, 0.6445617458226418, 0.6427259597001682, 0.6427259597001682, 0.643506883481542, 0.6425012120523669, 0.6425012120523669, 0.6425012120523669, 0.6425012120523669, 0.6444440294782774, 0.6425012120523669, 0.6425012120523669, 0.6442935862237267, 0.6423845945276424, 0.6423845945276424, 0.6423845945276424, 0.6423845945276424, 0.6423845945276424, 0.6423845945276424, 0.878134208587311]",0.6533470498163151
3,24-11-07--11-08-34,"[0.8613054687808719, 0.8613054687808719, 0.8626827011717682, 0.8626827011717682, 0.8640177644183991, 0.8653109491219639, 0.8646695729272291, 0.8626827011717682, 0.8626827011717682, 0.8626827011717682, 0.8659419312959459, 0.863355486076621, 0.863355486076621, 0.863355486076621, 0.863355486076621, 0.8671728705416575, 0.8683627119564181, 0.8677729079436096, 0.8665625585027149, 0.8689423245304663, 0.8695117883041732, 0.870071146589467, 0.863355486076621, 0.8706204433572464, 0.8711597232228282, 0.863355486076621, 0.8727179169202292, 0.8722084138434408, 0.8716890314313948, 0.8671728705416575, 0.8768668193545724, 0.870071146589467, 0.8768668193545724, 0.8683627119564181, 0.8776842604232455, 0.8677729079436096, 0.879208206679123, 0.879208206679123, 0.8847236678647492, 0.8815282021647292, 0.8821121183208522]",0.8688894476258443
4,24-11-07--11-24-21,"[0.8613054687808719, 0.8613054687808719, 0.8626827011717682, 0.8626827011717682, 0.8626827011717682, 0.863355486076621, 0.8671728705416575, 0.8653109491219639, 0.863355486076621, 0.863355486076621, 0.8626827011717682, 0.8646695729272291, 0.863355486076621, 0.8626827011717682, 0.8640177644183991, 0.8659419312959459, 0.8677729079436096, 0.8683627119564181, 0.8695117883041732, 0.8665625585027149, 0.8711597232228282, 0.8689423245304663, 0.8716890314313948, 0.870071146589467, 0.8706204433572464, 0.8722084138434408, 0.8727179169202292, 0.863355486076621, 0.863355486076621, 0.8671728705416575, 0.8683627119564181, 0.8768668193545724, 0.870071146589467, 0.8677729079436096, 0.8776842604232455, 0.879208206679123, 0.879208206679123, 0.879208206679123, 0.8847236678647492, 0.863355486076621, 0.863355486076621, 0.8613054687808719, 0.8646695729272291, 0.870071146589467, 0.8727179169202292, 0.8776842604232455, 0.8659419312959459, 0.8815282021647292, 0.8722084138434408, 0.8821121183208522, 0.863355486076621, 0.8847236678647492]",0.8689653380165231
5,24-11-07--11-31-59,"[0.8613054687808719, 0.8613054687808719, 0.8640177644183991, 0.8646695729272291, 0.8653109491219639, 0.8626827011717682, 0.8626827011717682, 0.8626827011717682, 0.8626827011717682, 0.8626827011717682, 0.8671728705416575, 0.863355486076621, 0.863355486076621, 0.863355486076621, 0.8665625585027149, 0.8659419312959459, 0.863355486076621, 0.863355486076621, 0.8683627119564181, 0.8677729079436096, 0.863355486076621, 0.8689423245304663, 0.8695117883041732, 0.870071146589467, 0.8711597232228282, 0.8716890314313948, 0.8722084138434408, 0.8727179169202292, 0.8706204433572464, 0.8671728705416575, 0.870071146589467, 0.870071146589467, 0.8768668193545724, 0.8683627119564181, 0.8776842604232455, 0.8677729079436096, 0.879208206679123, 0.879208206679123, 0.879208206679123, 0.8847236678647492, 0.8847236678647492, 0.8815282021647292, 0.8821121183208522]",0.8693396175450787
6,24-11-07--15-15-47,"[0.782487389819485, 0.6901072638901812, 0.6896620709071741, 0.7926352395019496, 0.783968107158919, 0.7968272174433201, 0.8088244681820878, 0.8075347855317183, 0.8088244681820878, 0.8151084247533642, 0.8163321669620482, 0.8138736382488007, 0.8245877096077893, 0.8245877096077893, 0.8187464448903006, 0.8211163375220789, 0.8245877096077893, 0.7995686914300862, 0.800923365518778, 0.7995686914300862, 0.800923365518778, 0.8036004179643481, 0.8022672852702042, 0.8036004179643481, 0.8075347855317183, 0.783968107158919, 0.8245877096077893, 0.8187464448903006, 0.8138736382488007, 0.7926352395019496, 0.8606009519053069, 0.8613054687808719, 0.7968272174433201, 0.8619993737766036, 0.8163321669620482, 0.8151084247533642, 0.8211163375220789, 0.8245877096077893, 0.8088244681820878, 0.8640177644183991, 0.8113710135860763, 0.8175448461568725, 0.8199369469831427, 0.8199369469831427, 0.8199369469831427, 0.8234417305968142, 0.8175448461568725, 0.8199369469831427, 0.8234417305968142, 0.7854385603189789, 0.8257225300076585, 0.8268461831622678, 0.8268461831622678, 0.8163321669620482, 0.8138736382488007, 0.8279586616807095, 0.830150071431173, 0.8312289940506314, 0.832296724797027, 0.832296724797027, 0.8646695729272291]",0.8129357567504374
7,24-11-07--15-36-37,"[0.7003728290710356, 0.7012537728497402, 0.7032991517063645, 0.7008177777289657, 0.7008177777289657, 0.7057849359641825, 0.7051197150240364, 0.7054568250122358, 0.7061040506962386, 0.7070074607874558, 0.7072906388441641, 0.7072906388441641, 0.7008177777289657, 0.708572212318528, 0.7088017387711321, 0.7083337723741497, 0.7012537728497402, 0.7044184917177037, 0.7101601088441799, 0.7101601088441799, 0.7078301023134341, 0.7092341066275641, 0.7094369781091525, 0.7094369781091525, 0.7094369781091525, 0.7092341066275641, 0.7092341066275641, 0.70963099624066, 0.7090223653514715, 0.7099925428605028, 0.7098161783938947, 0.7094369781091525, 0.7099925428605028, 0.7098161783938947, 0.7090223653514715, 0.7090649013102917, 0.7090223653514715, 0.7103188964526403, 0.7104689266893538, 0.7101601088441799, 0.7104689266893538, 0.7088017387711321, 0.710610221445055, 0.7083337723741497, 0.7107428034890255, 0.710866696460162, 0.7109819248578287, 0.7110885140325046, 0.7110885140325046, 0.7003728290710356, 0.5665913438808068, 0.5632980319028208]",0.7022305303354919
8,24-11-07--15-38-38,"[0.782487389819485, 0.783968107158919, 0.7854385603189789, 0.7926352395019496, 0.783968107158919, 0.800923365518778, 0.7995686914300862, 0.7995686914300862, 0.800923365518778, 0.8036004179643481, 0.8022672852702042, 0.800923365518778, 0.7995686914300862, 0.8036004179643481, 0.8075347855317183, 0.8088244681820878, 0.8088244681820878, 0.783968107158919, 0.8151084247533642, 0.8163321669620482, 0.8138736382488007, 0.7854385603189789, 0.8245877096077893, 0.8245877096077893, 0.8187464448903006, 0.8211163375220789, 0.7968272174433201, 0.8245877096077893, 0.7926352395019496, 0.8606009519053069, 0.8640177644183991, 0.5750336291258, 0.6197757437424818, 0.6197757437424818, 0.5800547903947851, 0.5820075676949942, 0.5820075676949942, 0.5820075676949942, 0.5839283286234115, 0.5848766680675986, 0.5800547903947851, 0.5820075676949942, 0.5848766680675986, 0.5839283286234115, 0.5867492031983653, 0.5876733769458712, 0.5876733769458712, 0.5790664339430165, 0.5885894750429839, 0.5894974887973143, 0.5770658701950059, 0.5903974104219137, 0.5912892330318624, 0.5921729506406077, 0.5921729506406077]",0.7110861114765865
9,24-11-07--15-41-25,"[0.5518320028641418, 0.5530117872043824, 0.5541842970068342, 0.5599364041509305, 0.5530117872043824, 0.5655012150971159, 0.5665913438808068, 0.5655012150971159, 0.5665913438808068, 0.5687485311803782, 0.5676737919143994, 0.5665913438808068, 0.5655012150971159, 0.5687485311803782, 0.5729698722578258, 0.5729698722578258, 0.5719262299221262, 0.5530117872043824, 0.5780701212508843, 0.5790664339430165, 0.5770658701950059, 0.5541842970068342, 0.5632980319028208, 0.5858169634014495, 0.5858169634014495, 0.5810351736545639, 0.5829719574119807, 0.5858169634014495, 0.6161817707755526, 0.5599364041509305, 0.6191961371838779, 0.5750336291258, 0.6989516719428688, 0.6989516719428688, 0.6989516719428688, 0.698136725417304, 0.6985764042404711, 0.6985764042404711, 0.6985764042404711, 0.6989811549596769, 0.6991704742256533, 0.698136725417304, 0.6985764042404711, 0.6991704742256533, 0.6989811549596769, 0.6995230923744811, 0.6996864306548184, 0.6996864306548184, 0.6936632997460829, 0.6979037494573561, 0.6933422093918766, 0.6998411494717096, 0.69998727071268, 0.6933422093918766, 0.6974114555373792, 0.7001248171252975, 0.7002538123082453, 0.7003742807021908, 0.7003742807021908, 0.6930152306005749, 0.6923438246449274, 0.6926824175805074, 0.6923438246449274, 0.6926824175805074]",0.6345330130213371
