,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,60076,198.18.0.9,443,192.168.5.2,60077,103.166.52.49,2011,198.18.0.1,60076,198.18.0.9,443,35,14428,3,1.458143,4.74863,7,clientservices.googleapis.com,192.168.5.2,60077,103.166.52.49,2011,32,17502,2,1.46028,4.785586,7
11,198.18.0.1,60082,198.18.0.11,443,192.168.5.2,60108,103.166.52.49,2011,198.18.0.1,60082,198.18.0.11,443,34,11679,5,3.48702,2.722106,7,www.google.com,192.168.5.2,60108,103.166.52.49,2011,34,17226,15,3.557418,2.693138,7
13,198.18.0.1,60116,198.18.0.16,443,192.168.5.2,60117,103.166.52.49,2011,198.18.0.1,60116,198.18.0.16,443,39,15231,17,3.702828,2.506156,7,www.googleapis.com,192.168.5.2,60117,103.166.52.49,2011,32,17607,18,3.716408,2.534184,7
14,198.18.0.1,60118,198.18.0.10,443,192.168.5.2,60119,103.166.52.49,2011,198.18.0.1,60118,198.18.0.10,443,38,15410,18,3.79867,2.410161,7,accounts.google.com,192.168.5.2,60119,103.166.52.49,2011,37,18033,19,3.800463,2.449512,7
18,198.18.0.1,60128,198.18.0.10,443,192.168.5.2,60129,103.166.52.49,2011,198.18.0.1,60128,198.18.0.10,443,37,15633,26,4.274054,1.9349730000000005,7,accounts.google.com,192.168.5.2,60129,103.166.52.49,2011,34,18408,24,4.275479,1.9730490000000005,7
21,198.18.0.1,60136,198.18.0.23,5228,192.168.5.2,60137,103.166.52.49,2011,198.18.0.1,60136,198.18.0.23,5228,42,15918,36,6.24547,62.476975,4,mtalk.google.com,192.168.5.2,60137,103.166.52.49,2011,37,15607,27,6.246959,62.51421499999999,4
22,198.18.0.1,60138,198.18.0.21,443,192.168.5.2,60140,103.166.52.49,2011,198.18.0.1,60138,198.18.0.21,443,52,18739,37,6.466817,62.281771,7,clients2.google.com,192.168.5.2,60140,103.166.52.49,2011,47,20286,28,6.468252,62.318595,7
23,198.18.0.1,60139,198.18.0.22,443,192.168.5.2,60141,103.166.52.49,2011,198.18.0.1,60139,198.18.0.22,443,53,20199,38,6.467138,62.281408000000006,7,update.googleapis.com,192.168.5.2,60141,103.166.52.49,2011,50,21944,29,6.468345,62.319583,7
24,198.18.0.1,60142,198.18.0.24,443,192.168.5.2,60143,103.166.52.49,2011,198.18.0.1,60142,198.18.0.24,443,62,19646,39,6.559632,62.189809,9,android.clients.google.com,192.168.5.2,60143,103.166.52.49,2011,51,23948,30,6.561465,62.226444,9
25,198.18.0.1,60144,198.18.0.27,443,192.168.5.2,60145,103.166.52.49,2011,198.18.0.1,60144,198.18.0.27,443,169,88250,44,10.450924,58.299165,25,optimizationguide-pa.googleapis.com,192.168.5.2,60145,103.166.52.49,2011,130,84315,32,10.453003,58.34506199999999,25
