,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,59095,198.18.0.81,443,192.168.5.2,59097,221.5.100.174,2011,198.18.0.1,59095,198.18.0.81,443,142,47878,48,7.09497,239.845316,11,open.spotify.com,192.168.5.2,59097,221.5.100.174,2011,118,49013,36,7.098861,239.885932,11
1,198.18.0.1,59094,198.18.0.81,443,192.168.5.2,59096,221.5.100.174,2011,198.18.0.1,59094,198.18.0.81,443,28,6945,47,7.094745,61.262483,3,open.spotify.com,192.168.5.2,59096,221.5.100.174,2011,29,8543,37,7.098863,61.300803,3
2,198.18.0.1,59101,198.18.0.83,443,192.168.5.2,59108,221.5.100.174,2011,198.18.0.1,59101,198.18.0.83,443,10,2324,54,7.68305,0.0868080000000004,1,encore.scdn.co,192.168.5.2,59108,221.5.100.174,2011,18,9021,41,7.686179,0.0873210000000002,2
3,198.18.0.1,59099,198.18.0.83,443,192.168.5.2,59106,221.5.100.174,2011,198.18.0.1,59099,198.18.0.83,443,1629,1275518,52,7.682619,120.167741,4,encore.scdn.co,192.168.5.2,59106,221.5.100.174,2011,618,609746,39,7.685874,120.200155,6
4,198.18.0.1,59098,198.18.0.85,443,192.168.5.2,59104,221.5.100.174,2011,198.18.0.1,59098,198.18.0.85,443,81,13642,51,7.681773,239.260063,11,apresolve.spotify.com,192.168.5.2,59104,221.5.100.174,2011,72,20609,38,7.685559,239.300786,11
5,198.18.0.1,59100,198.18.0.87,443,192.168.5.2,59107,221.5.100.174,2011,198.18.0.1,59100,198.18.0.87,443,78,12691,53,7.682866,239.258989,9,clienttoken.spotify.com,192.168.5.2,59107,221.5.100.174,2011,67,19561,40,7.686096,239.300428,9
6,198.18.0.1,59105,198.18.0.86,443,192.168.5.2,59112,221.5.100.174,2011,198.18.0.1,59105,198.18.0.86,443,258,74965,57,7.683737,239.257679,67,api-partner.spotify.com,192.168.5.2,59112,221.5.100.174,2011,234,111767,44,7.686908,239.29932,67
7,198.18.0.1,59109,198.18.0.83,443,192.168.5.2,59113,221.5.100.174,2011,198.18.0.1,59109,198.18.0.83,443,11,2312,58,7.68437,0.0856729999999998,1,encore.scdn.co,192.168.5.2,59113,221.5.100.174,2011,17,8466,45,7.687446,0.0844710000000006,2
8,198.18.0.1,59103,198.18.0.83,443,192.168.5.2,59111,221.5.100.174,2011,198.18.0.1,59103,198.18.0.83,443,10,2292,56,7.683489,0.0864539999999998,1,encore.scdn.co,192.168.5.2,59111,221.5.100.174,2011,16,8092,43,7.68666,0.089175,2
9,198.18.0.1,59102,198.18.0.83,443,192.168.5.2,59110,221.5.100.174,2011,198.18.0.1,59102,198.18.0.83,443,11,2408,55,7.683256,0.0866730000000002,1,encore.scdn.co,192.168.5.2,59110,221.5.100.174,2011,17,8331,42,7.68649,0.0895029999999996,2
10,198.18.0.1,59114,198.18.0.88,443,192.168.5.2,59121,221.5.100.174,2011,198.18.0.1,59114,198.18.0.88,443,555,205100,59,7.687081,239.254937,120,gae2-spclient.spotify.com,192.168.5.2,59121,221.5.100.174,2011,495,269982,46,7.690536,239.295713,120
11,198.18.0.1,59117,198.18.0.84,443,192.168.5.2,59124,221.5.100.174,2011,198.18.0.1,59117,198.18.0.84,443,5375,4183430,62,7.687711,239.253189,27,open.spotifycdn.com,192.168.5.2,59124,221.5.100.174,2011,2186,2098357,49,7.691,239.293879,27
12,198.18.0.1,59115,198.18.0.84,443,192.168.5.2,59122,221.5.100.174,2011,198.18.0.1,59115,198.18.0.84,443,22,10355,60,7.687372,0.0897060000000005,3,open.spotifycdn.com,192.168.5.2,59122,221.5.100.174,2011,23,10784,47,7.690626,0.1270480000000002,3
13,198.18.0.1,59118,198.18.0.84,443,192.168.5.2,59125,221.5.100.174,2011,198.18.0.1,59118,198.18.0.84,443,4169,3066164,63,7.687876,239.253193,266,open.spotifycdn.com,192.168.5.2,59125,221.5.100.174,2011,1652,1696093,50,7.691067,239.296126,266
14,198.18.0.1,59116,198.18.0.84,443,192.168.5.2,59123,221.5.100.174,2011,198.18.0.1,59116,198.18.0.84,443,10,2297,61,7.687542,0.0896550000000004,1,open.spotifycdn.com,192.168.5.2,59123,221.5.100.174,2011,18,9415,48,7.690908999999999,0.0899870000000007,2
15,198.18.0.1,59128,198.18.0.90,443,192.168.5.2,59132,221.5.100.174,2011,198.18.0.1,59128,198.18.0.90,443,28,7212,66,7.691065,60.665995,3,gae2-dealer.spotify.com,192.168.5.2,59132,221.5.100.174,2011,30,9986,53,7.694876,60.703741,3
16,198.18.0.1,59131,198.18.0.92,443,192.168.5.2,59136,221.5.100.174,2011,198.18.0.1,59131,198.18.0.92,443,28,7963,69,7.69281,60.664446000000005,4,pixel-static.spotify.com,192.168.5.2,59136,221.5.100.174,2011,31,11518,56,7.696134,60.702269,4
17,198.18.0.1,59130,198.18.0.91,443,192.168.5.2,59135,221.5.100.174,2011,198.18.0.1,59130,198.18.0.91,443,28,7956,68,7.692489,60.664859,4,pixel.spotify.com,192.168.5.2,59135,221.5.100.174,2011,29,9771,55,7.696134,60.702508,4
18,198.18.0.1,59129,198.18.0.89,443,192.168.5.2,59133,221.5.100.174,2011,198.18.0.1,59129,198.18.0.89,443,28,8289,67,7.69128,60.666054,3,pl.scdn.co,192.168.5.2,59133,221.5.100.174,2011,31,11571,54,7.694883,60.708963,3
19,198.18.0.1,59134,198.18.0.93,443,192.168.5.2,59138,221.5.100.174,2011,198.18.0.1,59134,198.18.0.93,443,33,10888,70,7.694229,60.662896,3,open-exp.spotifycdn.com,192.168.5.2,59138,221.5.100.174,2011,30,10834,57,7.697866,60.704839,3
20,198.18.0.1,59137,198.18.0.94,443,192.168.5.2,59140,221.5.100.174,2011,198.18.0.1,59137,198.18.0.94,443,32,10761,71,7.695589,60.661506,3,mosaic.scdn.co,192.168.5.2,59140,221.5.100.174,2011,32,11842,58,7.699058,60.70482499999999,3
21,198.18.0.1,59141,198.18.0.95,443,192.168.5.2,59145,221.5.100.174,2011,198.18.0.1,59141,198.18.0.95,443,24,8134,73,7.698,55.632397,4,i.scdn.co,192.168.5.2,59145,221.5.100.174,2011,26,10349,60,7.701348,10.663554,4
