,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,60695,198.18.0.9,443,192.168.5.2,60696,120.232.217.159,2011,198.18.0.1,60695,198.18.0.9,443,39,14744,5,1.131254,4.416717,7,clientservices.googleapis.com,192.168.5.2,60696,120.232.217.159,2011,35,17197,8,1.132945,4.447523,7
1,198.18.0.1,60697,198.18.0.10,443,192.168.5.2,60716,120.232.217.159,2011,198.18.0.1,60697,198.18.0.10,443,39,15687,7,2.807187,2.744343,7,accounts.google.com,192.168.5.2,60716,120.232.217.159,2011,35,19999,14,2.879862,2.712242,7
2,198.18.0.1,60698,198.18.0.11,443,192.168.5.2,60725,120.232.217.159,2011,198.18.0.1,60698,198.18.0.11,443,35,14254,8,2.80747,2.7438100000000003,7,www.google.com,192.168.5.2,60725,120.232.217.159,2011,35,19819,20,2.880183,2.710865,7
3,198.18.0.1,60731,198.18.0.16,443,192.168.5.2,60732,120.232.217.159,2011,198.18.0.1,60731,198.18.0.16,443,39,15144,19,3.052597,2.499006,7,www.googleapis.com,192.168.5.2,60732,120.232.217.159,2011,34,18415,21,3.058098,2.534041,7
4,198.18.0.1,60733,198.18.0.10,443,192.168.5.2,60734,120.232.217.159,2011,198.18.0.1,60733,198.18.0.10,443,30,12187,20,3.072634,2.479226,7,accounts.google.com,192.168.5.2,60734,120.232.217.159,2011,30,19054,22,3.077467,2.508175,7
5,198.18.0.1,60753,198.18.0.21,443,192.168.5.2,60755,120.232.217.159,2011,198.18.0.1,60753,198.18.0.21,443,10,2361,35,5.512865,0.0376039999999999,1,clients2.google.com,192.168.5.2,60755,120.232.217.159,2011,14,4095,29,5.516067,0.0703150000000008,1
6,198.18.0.1,60754,198.18.0.22,443,192.168.5.2,60756,120.232.217.159,2011,198.18.0.1,60754,198.18.0.22,443,10,2299,36,5.51303,0.0388489999999999,1,update.googleapis.com,192.168.5.2,60756,120.232.217.159,2011,20,10172,30,5.516068,0.0924120000000003,2
7,198.18.0.1,60757,198.18.0.21,443,192.168.5.2,60760,120.232.217.159,2011,198.18.0.1,60757,198.18.0.21,443,10,2265,37,5.550847,0.0906770000000003,1,clients2.google.com,192.168.5.2,60760,120.232.217.159,2011,22,12888,32,5.552878,0.0920740000000002,2
8,198.18.0.1,60758,198.18.0.22,443,192.168.5.2,60759,120.232.217.159,2011,198.18.0.1,60758,198.18.0.22,443,10,2363,38,5.551055,0.0904069999999999,1,update.googleapis.com,192.168.5.2,60759,120.232.217.159,2011,21,10885,31,5.552866,0.0920860000000001,2
9,198.18.0.1,60762,198.18.0.24,443,192.168.5.2,60764,120.232.217.159,2011,198.18.0.1,60762,198.18.0.24,443,10,2368,40,5.580224,0.0612839999999996,1,android.clients.google.com,192.168.5.2,60764,120.232.217.159,2011,23,13198,34,5.581719,0.0894460000000005,2
10,198.18.0.1,60761,198.18.0.23,5228,192.168.5.2,60763,120.232.217.159,2011,198.18.0.1,60761,198.18.0.23,5228,38,15805,39,5.580077,41.138604,4,mtalk.google.com,192.168.5.2,60763,120.232.217.159,2011,38,15834,33,5.581074,41.179622,4
11,198.18.0.1,60767,198.18.0.22,443,192.168.5.2,60770,120.232.217.159,2011,198.18.0.1,60767,198.18.0.22,443,48,19958,43,5.641915,41.105449,7,update.googleapis.com,192.168.5.2,60770,120.232.217.159,2011,49,24270,37,5.645119,41.135113,7
12,198.18.0.1,60766,198.18.0.21,443,192.168.5.2,60769,120.232.217.159,2011,198.18.0.1,60766,198.18.0.21,443,46,18377,42,5.641759,41.105949,7,clients2.google.com,192.168.5.2,60769,120.232.217.159,2011,44,21795,36,5.64465,41.138713,7
13,198.18.0.1,60765,198.18.0.24,443,192.168.5.2,60768,120.232.217.159,2011,198.18.0.1,60765,198.18.0.24,443,56,19247,41,5.6416,41.105937,9,android.clients.google.com,192.168.5.2,60768,120.232.217.159,2011,52,25342,35,5.643916,41.147385,9
14,198.18.0.1,60773,198.18.0.28,443,192.168.5.2,60776,120.232.217.159,2011,198.18.0.1,60773,198.18.0.28,443,7403,5876732,46,5.8380410000000005,40.909427,95,drive.google.com,192.168.5.2,60776,120.232.217.159,2011,3544,3144923,40,5.839611,40.948685000000005,97
15,198.18.0.1,60772,198.18.0.28,443,192.168.5.2,60775,120.232.217.159,2011,198.18.0.1,60772,198.18.0.28,443,27,14668,45,5.837823,0.0930020000000002,3,drive.google.com,192.168.5.2,60775,120.232.217.159,2011,26,14186,39,5.8393180000000005,0.1282389999999997,3
16,198.18.0.1,60771,198.18.0.27,443,192.168.5.2,60774,120.232.217.159,2011,198.18.0.1,60771,198.18.0.27,443,182,87369,44,5.835606,40.911371,31,optimizationguide-pa.googleapis.com,192.168.5.2,60774,120.232.217.159,2011,151,90670,38,5.838291,40.952955,31
17,198.18.0.1,60777,198.18.0.10,443,192.168.5.2,60778,120.232.217.159,2011,198.18.0.1,60777,198.18.0.10,443,2789,2054273,47,6.282147,40.4661,47,accounts.google.com,192.168.5.2,60778,120.232.217.159,2011,1212,1170508,41,6.283749,40.51099,47
18,198.18.0.1,60779,198.18.0.33,443,192.168.5.2,60780,120.232.217.159,2011,198.18.0.1,60779,198.18.0.33,443,129,87524,48,6.936043,39.811737,9,lh3.googleusercontent.com,192.168.5.2,60780,120.232.217.159,2011,95,65597,42,6.937681,39.849448,9
19,198.18.0.1,60781,198.18.0.34,443,192.168.5.2,60782,120.232.217.159,2011,198.18.0.1,60781,198.18.0.34,443,466,349418,49,6.947385,39.801213,20,fonts.gstatic.com,192.168.5.2,60782,120.232.217.159,2011,262,228360,43,6.949069,39.833033,20
20,198.18.0.1,60783,198.18.0.32,443,192.168.5.2,60784,120.232.217.159,2011,198.18.0.1,60783,198.18.0.32,443,746,531253,50,7.035032,39.71192,41,ssl.gstatic.com,192.168.5.2,60784,120.232.217.159,2011,399,321940,44,7.037031,39.750219,41
21,198.18.0.1,60787,198.18.0.11,443,192.168.5.2,60788,120.232.217.159,2011,198.18.0.1,60787,198.18.0.11,443,111,62684,52,7.632238,39.114802,13,www.google.com,192.168.5.2,60788,120.232.217.159,2011,78,49128,46,7.634252,39.153028000000006,13
22,198.18.0.1,60789,198.18.0.19,443,192.168.5.2,60790,120.232.217.159,2011,198.18.0.1,60789,198.18.0.19,443,76,36847,54,9.595929,37.151638,13,clients4.google.com,192.168.5.2,60790,120.232.217.159,2011,84,43561,48,9.597185,37.191165,13
23,198.18.0.1,60791,198.18.0.41,443,192.168.5.2,60794,120.232.217.159,2011,198.18.0.1,60791,198.18.0.41,443,300,165953,55,9.89754,36.848915,49,play.google.com,192.168.5.2,60794,120.232.217.159,2011,338,195116,50,9.899506,36.880031,49
24,198.18.0.1,60792,198.18.0.41,443,192.168.5.2,60793,120.232.217.159,2011,198.18.0.1,60792,198.18.0.41,443,10,2357,56,9.897733,0.085374999999999,1,play.google.com,192.168.5.2,60793,120.232.217.159,2011,22,13048,49,9.899506,0.0845310000000001,2
25,198.18.0.1,60795,198.18.0.36,443,192.168.5.2,60796,120.232.217.159,2011,198.18.0.1,60795,198.18.0.36,443,2251,1749752,57,9.925303,36.821477,49,www.gstatic.com,192.168.5.2,60796,120.232.217.159,2011,957,965278,51,9.928824,36.859594,49
26,198.18.0.1,60797,198.18.0.38,443,192.168.5.2,60798,120.232.217.159,2011,198.18.0.1,60797,198.18.0.38,443,45,12956,58,10.250007,36.496416,11,content-autofill.googleapis.com,192.168.5.2,60798,120.232.217.159,2011,45,22279,52,10.251798,36.536529,11
27,198.18.0.1,60799,198.18.0.41,443,192.168.5.2,60800,120.232.217.159,2011,198.18.0.1,60799,198.18.0.41,443,78,20297,59,10.681488,36.065025,13,play.google.com,192.168.5.2,60800,120.232.217.159,2011,68,31425,53,10.683606,36.064878,14
28,198.18.0.1,60802,198.18.0.80,443,192.168.5.2,60804,120.232.217.159,2011,198.18.0.1,60802,198.18.0.80,443,32,13301,66,13.894553,32.860558,4,accountcapabilities-pa.googleapis.com,192.168.5.2,60804,120.232.217.159,2011,29,12632,55,13.89572,32.894656,4
29,198.18.0.1,60801,198.18.0.16,443,192.168.5.2,60803,120.232.217.159,2011,198.18.0.1,60801,198.18.0.16,443,42,10880,65,13.894002,32.853891,9,www.googleapis.com,192.168.5.2,60803,120.232.217.159,2011,42,18487,54,13.8954,32.893038999999995,9
30,198.18.0.1,60807,198.18.0.85,443,192.168.5.2,60808,120.232.217.159,2011,198.18.0.1,60807,198.18.0.85,443,44,19007,68,14.278905,32.467802,7,accounts.google.com.hk,192.168.5.2,60808,120.232.217.159,2011,43,20636,57,14.280384,32.509969000000005,7
31,198.18.0.1,60813,198.18.0.30,443,192.168.5.2,60815,120.232.217.159,2011,198.18.0.1,60813,198.18.0.30,443,360,268350,71,15.849665,30.898473,9,apis.google.com,192.168.5.2,60815,120.232.217.159,2011,166,146590,59,15.851698,30.938635,9
32,198.18.0.1,60818,198.18.0.86,443,192.168.5.2,60822,183.240.139.64,2011,198.18.0.1,60818,198.18.0.86,443,56,25275,74,16.013119,30.735173,8,drive-thirdparty.googleusercontent.com,192.168.5.2,60822,183.240.139.64,2011,44,25111,63,16.021033,30.767362,8
33,198.18.0.1,60817,198.18.0.86,443,192.168.5.2,60820,183.240.139.64,2011,198.18.0.1,60817,198.18.0.86,443,10,2380,73,16.0129,0.1109600000000021,1,drive-thirdparty.googleusercontent.com,192.168.5.2,60820,183.240.139.64,2011,23,15951,61,16.020727,0.1099619999999994,2
34,198.18.0.1,60819,198.18.0.86,443,192.168.5.2,60821,183.240.139.64,2011,198.18.0.1,60819,198.18.0.86,443,10,2380,75,16.013331,0.110599999999998,1,drive-thirdparty.googleusercontent.com,192.168.5.2,60821,183.240.139.64,2011,21,15081,62,16.020752,0.112805999999999,2
35,198.18.0.1,60823,198.18.0.35,443,192.168.5.2,60824,183.240.139.64,2011,198.18.0.1,60823,198.18.0.35,443,54,19380,76,16.246504,30.502590999999995,13,clients6.google.com,192.168.5.2,60824,183.240.139.64,2011,48,23552,64,16.248333,30.543475000000004,13
36,198.18.0.1,60826,198.18.0.37,443,192.168.5.2,60827,183.240.139.64,2011,198.18.0.1,60826,198.18.0.37,443,69,21458,78,16.307327,30.441062,14,drivefrontend-pa.clients6.google.com,192.168.5.2,60827,183.240.139.64,2011,67,31875,65,16.308851,30.483548000000003,14
37,198.18.0.1,60825,198.18.0.37,443,192.168.5.2,60828,183.240.139.64,2011,198.18.0.1,60825,198.18.0.37,443,31,20998,77,16.307191,0.114968000000001,2,drivefrontend-pa.clients6.google.com,192.168.5.2,60828,183.240.139.64,2011,24,16307,66,16.308851,0.1604969999999994,2
38,198.18.0.1,60829,198.18.0.37,443,192.168.5.2,60830,183.240.139.64,2011,198.18.0.1,60829,198.18.0.37,443,10,2282,79,16.342497,0.0799619999999983,1,drivefrontend-pa.clients6.google.com,192.168.5.2,60830,183.240.139.64,2011,22,16358,67,16.345399,0.090249,2
39,198.18.0.1,60831,198.18.0.39,443,192.168.5.2,60833,183.240.139.64,2011,198.18.0.1,60831,198.18.0.39,443,55,23586,80,16.536245,30.21307,7,ogads-pa.clients6.google.com,192.168.5.2,60833,183.240.139.64,2011,42,23690,68,16.53798,30.250583,7
40,198.18.0.1,60832,198.18.0.40,443,192.168.5.2,60834,183.240.139.64,2011,198.18.0.1,60832,198.18.0.40,443,54,23490,81,16.537447,30.211919,7,waa-pa.clients6.google.com,192.168.5.2,60834,183.240.139.64,2011,42,21157,69,16.538772,30.279565,7
