,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,50375,198.18.0.9,443,192.168.5.2,50376,221.5.100.174,2011,198.18.0.1,50375,198.18.0.9,443,39,14703,2,2.00342,9.371557,7,clientservices.googleapis.com,192.168.5.2,50376,221.5.100.174,2011,35,17482,4,2.003971,9.408132,7
1,198.18.0.1,50378,198.18.0.10,443,192.168.5.2,50385,221.5.100.174,2011,198.18.0.1,50378,198.18.0.10,443,2735,2006438,7,3.684002,8.779043,40,accounts.google.com,192.168.5.2,50385,221.5.100.174,2011,1061,1115771,6,3.685431,8.813908,40
2,198.18.0.1,50380,198.18.0.11,443,192.168.5.2,50386,221.5.100.174,2011,198.18.0.1,50380,198.18.0.11,443,43,16936,9,3.684446,7.693794,9,www.google.com,192.168.5.2,50386,221.5.100.174,2011,40,21786,7,3.685458,7.729668999999999,9
3,198.18.0.1,50408,198.18.0.16,443,192.168.5.2,50409,221.5.100.174,2011,198.18.0.1,50408,198.18.0.16,443,39,15190,19,3.823022,7.555379999999999,7,www.googleapis.com,192.168.5.2,50409,221.5.100.174,2011,35,18048,18,3.833986,7.581200000000001,7
4,198.18.0.1,50410,198.18.0.10,443,192.168.5.2,50411,221.5.100.174,2011,198.18.0.1,50410,198.18.0.10,443,37,15385,20,3.860049,7.518553000000001,7,accounts.google.com,192.168.5.2,50411,221.5.100.174,2011,34,18825,19,3.862102,7.553067,7
5,198.18.0.1,50416,198.18.0.19,443,192.168.5.2,50418,221.5.100.174,2011,198.18.0.1,50416,198.18.0.19,443,67,28947,24,4.020687,7.357457000000001,13,clients4.google.com,192.168.5.2,50418,221.5.100.174,2011,70,36815,21,4.020895,7.394255,13
6,198.18.0.1,50432,198.18.0.27,443,192.168.5.2,50433,221.5.100.174,2011,198.18.0.1,50432,198.18.0.27,443,77,25522,33,5.196185,6.183081,17,optimizationguide-pa.googleapis.com,192.168.5.2,50433,221.5.100.174,2011,66,31528,28,5.197012,6.219259,17
7,198.18.0.1,50434,198.18.1.4,443,192.168.5.2,50437,221.5.100.174,2011,198.18.0.1,50434,198.18.1.4,443,37,12730,34,5.201067,6.178115,9,mail.google.com,192.168.5.2,50437,221.5.100.174,2011,42,18904,29,5.201534,6.2141720000000005,9
8,198.18.0.1,50435,198.18.1.4,443,192.168.5.2,50436,221.5.100.174,2011,198.18.0.1,50435,198.18.1.4,443,24,12049,35,5.201265,6.176267,4,mail.google.com,192.168.5.2,50436,221.5.100.174,2011,25,12401,30,5.201534,6.212913,4
9,198.18.0.1,50438,198.18.0.33,443,192.168.5.2,50439,221.5.100.174,2011,198.18.0.1,50438,198.18.0.33,443,106,77001,38,5.958316,5.420684,7,lh3.googleusercontent.com,192.168.5.2,50439,221.5.100.174,2011,75,60448,31,5.958641,5.456562999999999,7
10,198.18.0.1,50440,198.18.0.34,443,192.168.5.2,50441,221.5.100.174,2011,198.18.0.1,50440,198.18.0.34,443,146,106599,39,5.970311,5.408742000000001,7,fonts.gstatic.com,192.168.5.2,50441,221.5.100.174,2011,85,73347,32,5.970525,5.449024999999999,7
11,198.18.0.1,50442,198.18.0.32,443,192.168.5.2,50443,221.5.100.174,2011,198.18.0.1,50442,198.18.0.32,443,187,120294,40,6.056402,5.322381999999999,17,ssl.gstatic.com,192.168.5.2,50443,221.5.100.174,2011,112,80570,33,6.057159,5.358597999999999,17
12,198.18.0.1,50446,198.18.0.41,443,192.168.5.2,50447,221.5.100.174,2011,198.18.0.1,50446,198.18.0.41,443,76,28993,44,8.435246,2.944381,13,play.google.com,192.168.5.2,50447,221.5.100.174,2011,65,32493,35,8.435533,2.984089000000001,13
13,198.18.0.1,50448,198.18.0.36,443,192.168.5.2,50449,221.5.100.174,2011,198.18.0.1,50448,198.18.0.36,443,1380,1086302,45,8.461001,2.917860000000001,17,www.gstatic.com,192.168.5.2,50449,221.5.100.174,2011,508,561606,36,8.461855,2.953881000000001,17
14,198.18.0.1,50450,198.18.0.38,443,192.168.5.2,50451,221.5.100.174,2011,198.18.0.1,50450,198.18.0.38,443,37,15072,47,8.789423,2.590022000000001,7,content-autofill.googleapis.com,192.168.5.2,50451,221.5.100.174,2011,34,17784,37,8.78927,2.6303730000000005,7
15,198.18.0.1,50452,198.18.0.41,443,192.168.5.2,50453,221.5.100.174,2011,198.18.0.1,50452,198.18.0.41,443,41,16893,49,9.228893,2.1504700000000003,7,play.google.com,192.168.5.2,50453,221.5.100.174,2011,37,18228,39,9.22871,2.1908890000000003,7
16,198.18.0.1,50454,198.18.0.21,443,192.168.5.2,50457,221.5.100.174,2011,198.18.0.1,50454,198.18.0.21,443,10,2361,50,11.285662,0.1172529999999998,1,clients2.google.com,192.168.5.2,50457,221.5.100.174,2011,17,5332,41,11.365187,0.0838649999999994,1
17,198.18.0.1,50455,198.18.0.22,443,192.168.5.2,50456,221.5.100.174,2011,198.18.0.1,50455,198.18.0.22,443,10,2299,51,11.285892,0.119159999999999,1,update.googleapis.com,192.168.5.2,50456,221.5.100.174,2011,16,4129,40,11.365187,0.0853719999999995,1
18,198.18.0.1,50458,198.18.0.21,443,192.168.5.2,50460,221.5.100.174,2011,198.18.0.1,50458,198.18.0.21,443,40,17864,52,11.377749,0.2767110000000006,6,clients2.google.com,192.168.5.2,50460,221.5.100.174,2011,36,19026,43,11.378728,0.3115749999999995,6
19,198.18.0.1,50459,198.18.0.22,443,192.168.5.2,50461,221.5.100.174,2011,198.18.0.1,50459,198.18.0.22,443,43,19619,53,11.377898,0.3409089999999999,6,update.googleapis.com,192.168.5.2,50461,221.5.100.174,2011,39,21642,42,11.378726,0.3311679999999999,6
20,198.18.0.1,50462,198.18.0.23,5228,192.168.5.2,50464,221.5.100.174,2011,198.18.0.1,50462,198.18.0.23,5228,42,15982,54,11.418682,65.090503,4,mtalk.google.com,192.168.5.2,50464,221.5.100.174,2011,40,15668,44,11.418292,65.12687500000001,4
21,198.18.0.1,50463,198.18.0.24,443,192.168.5.2,50465,221.5.100.174,2011,198.18.0.1,50463,198.18.0.24,443,10,2272,55,11.418872,0.0881759999999989,1,android.clients.google.com,192.168.5.2,50465,221.5.100.174,2011,21,12985,45,11.420342,0.094717000000001,2
22,198.18.0.1,50466,198.18.0.24,443,192.168.5.2,50467,221.5.100.174,2011,198.18.0.1,50466,198.18.0.24,443,60,19422,56,11.50704,65.023437,9,android.clients.google.com,192.168.5.2,50467,221.5.100.174,2011,50,22770,46,11.507436,65.060193,9
23,198.18.0.1,50468,198.18.0.10,443,192.168.5.2,50469,221.5.100.174,2011,198.18.0.1,50468,198.18.0.10,443,100,45714,57,11.972668,64.558116,17,accounts.google.com,192.168.5.2,50469,221.5.100.174,2011,104,55668,47,11.972843,64.596858,17
24,198.18.0.1,50471,198.18.0.80,443,192.168.5.2,50472,221.5.100.174,2011,198.18.0.1,50471,198.18.0.80,443,35,13382,60,12.465976,61.94035000000001,4,accountcapabilities-pa.googleapis.com,192.168.5.2,50472,221.5.100.174,2011,33,13891,49,12.466513,61.97602800000001,4
