,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,56372,198.18.0.161,443,192.168.5.2,56374,120.232.217.159,2011,198.18.0.1,56372,198.18.0.161,443,42,18754,24,4.19079,2.5458670000000003,7,accounts.youtube.com,192.168.5.2,56374,120.232.217.159,2011,36,20031,22,4.215368,2.5765840000000004,7
1,198.18.0.1,56404,198.18.0.182,443,192.168.5.2,56405,120.232.217.159,2011,198.18.0.1,56404,198.18.0.182,443,9277,7277343,41,8.384427,59.950397,111,www.youtube.com,192.168.5.2,56405,120.232.217.159,2011,4791,4179781,38,8.408579,59.986214,119
2,198.18.0.1,56406,198.18.0.182,443,192.168.5.2,56407,120.232.217.159,2011,198.18.0.1,56406,198.18.0.182,443,36,16144,42,8.387606,59.945958,4,www.youtube.com,192.168.5.2,56407,120.232.217.159,2011,34,15481,39,8.412172,59.98259900000001,4
3,198.18.0.1,56408,198.18.0.183,443,192.168.5.2,56409,120.232.217.159,2011,198.18.0.1,56408,198.18.0.183,443,600,434966,43,8.59353,59.741868,29,i.ytimg.com,192.168.5.2,56409,120.232.217.159,2011,329,280588,40,8.618755,59.770723,29
4,198.18.0.1,56410,198.18.0.183,443,192.168.5.2,56411,120.232.217.159,2011,198.18.0.1,56410,198.18.0.183,443,21,8949,44,8.598039,0.0871080000000006,3,i.ytimg.com,192.168.5.2,56411,120.232.217.159,2011,24,13733,41,8.622673,0.1177539999999996,4
5,198.18.0.1,56415,198.18.0.184,443,192.168.5.2,56417,120.232.217.159,2011,198.18.0.1,56415,198.18.0.184,443,32,11647,47,8.688933,59.644494,4,rr1---sn-i3belnll.googlevideo.com,192.168.5.2,56417,120.232.217.159,2011,35,14106,44,8.713078,59.67673500000001,4
6,198.18.0.1,56414,198.18.0.184,443,192.168.5.2,56416,120.232.217.159,2011,198.18.0.1,56414,198.18.0.184,443,32,11683,46,8.68868,59.64479600000001,4,rr1---sn-i3belnll.googlevideo.com,192.168.5.2,56416,120.232.217.159,2011,32,12173,43,8.713057,59.679415,4
7,198.18.0.1,56424,198.18.0.185,443,192.168.5.2,56425,120.232.217.159,2011,198.18.0.1,56424,198.18.0.185,443,49709,39986000,52,9.588165,58.745356,30,rr5---sn-i3belne6.googlevideo.com,192.168.5.2,56425,120.232.217.159,2011,18017,18685528,47,9.61228,58.777978,30
8,198.18.0.1,56426,198.18.0.187,443,192.168.5.2,56427,120.232.217.159,2011,198.18.0.1,56426,198.18.0.187,443,15369,12564221,53,9.624365,58.709138,8,rr2---sn-i3belnls.googlevideo.com,192.168.5.2,56427,120.232.217.159,2011,6935,6641776,48,9.649079,58.740443,8
9,198.18.0.1,56433,198.18.0.188,443,192.168.5.2,56435,120.232.217.159,2011,198.18.0.1,56433,198.18.0.188,443,26,12449,59,10.107548,0.6503709999999998,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56435,120.232.217.159,2011,28,13872,52,10.132778,0.6845800000000004,4
10,198.18.0.1,56432,198.18.0.188,443,192.168.5.2,56434,120.232.217.159,2011,198.18.0.1,56432,198.18.0.188,443,26,12441,58,10.1072,0.6679459999999988,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56434,120.232.217.159,2011,29,15006,51,10.132778,0.7070860000000003,4
11,198.18.0.1,56438,198.18.0.190,443,192.168.5.2,56439,120.232.217.159,2011,198.18.0.1,56438,198.18.0.190,443,191,122289,61,10.693145,57.64207999999999,11,yt3.ggpht.com,192.168.5.2,56439,120.232.217.159,2011,104,73063,54,10.719122,57.682491,11
12,198.18.0.1,56446,198.18.0.188,443,192.168.5.2,56447,120.232.217.159,2011,198.18.0.1,56446,198.18.0.188,443,27,12469,66,11.074713,0.6383690000000009,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56447,120.232.217.159,2011,28,14708,57,11.099489,0.672013999999999,4
13,198.18.0.1,56448,198.18.0.188,443,192.168.5.2,56449,120.232.217.159,2011,198.18.0.1,56448,198.18.0.188,443,26,12441,67,11.088646,0.6445479999999986,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56449,120.232.217.159,2011,31,14635,58,11.113194,0.6807680000000005,4
14,198.18.0.1,56465,198.18.0.194,443,192.168.5.2,56467,120.232.217.159,2011,198.18.0.1,56465,198.18.0.194,443,49,19028,77,11.955381,56.37854399999999,7,youtube.com,192.168.5.2,56467,120.232.217.159,2011,46,22157,67,11.980657,56.412558,7
15,198.18.0.1,56468,198.18.0.188,443,192.168.5.2,56469,120.232.217.159,2011,198.18.0.1,56468,198.18.0.188,443,26,12447,78,12.023994,0.6420940000000002,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56469,120.232.217.159,2011,27,13089,68,12.048739,0.6767120000000002,4
16,198.18.0.1,56470,198.18.0.188,443,192.168.5.2,56471,120.232.217.159,2011,198.18.0.1,56470,198.18.0.188,443,27,12555,79,12.07011,0.6565500000000011,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56471,120.232.217.159,2011,30,14292,69,12.095897,0.6976589999999998,4
17,198.18.0.1,56536,198.18.0.185,443,192.168.5.2,56537,120.232.217.159,2011,198.18.0.1,56536,198.18.0.185,443,58308,46829418,106,72.535141,182.011405,22,rr5---sn-i3belne6.googlevideo.com,192.168.5.2,56537,120.232.217.159,2011,22315,21585113,104,72.55876,182.047805,22
18,198.18.0.1,56562,198.18.0.182,443,192.168.5.2,56563,120.232.217.159,2011,198.18.0.1,56562,198.18.0.182,443,579,357777,118,77.266673,177.278791,59,www.youtube.com,192.168.5.2,56563,120.232.217.159,2011,492,307805,116,77.290269,177.309678,59
