Name,AllSNI,FilteredSNI
24-11-07--10-19-16,"{'e2c33.gcp.gvt2.com', 'www.google.com.hk', 'youtube.com', 'rr2---sn-i3belnls.googlevideo.com', 'jnn-pa.googleapis.com', 'e2c58.gcp.gvt2.com', 'api.infinitynewtab.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'rr3---sn-q4flrnee.googlevideo.com', 'beacons.gcp.gvt2.com', 'www.gstatic.com', 'beacons.gvt2.com', 'optimizationguide-pa.googleapis.com', 'rr1---sn-i3belnll.googlevideo.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'rr5---sn-i3belne6.googlevideo.com', 'play.google.com', 'basic-static-server.infinitynewtab.com', 'safebrowsing.googleapis.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'clientservices.googleapis.com', 'fonts.gstatic.com', 'analytics.immersivetranslate.com', 'i.ytimg.com', 'clients2.google.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'www.youtube.com', 'fonts.googleapis.com', 'google.com', 'infinityicon.infinitynewtab.com', 'yt3.ggpht.com', 'accounts.youtube.com', 'content-autofill.googleapis.com'}","{'rr2---sn-i3belnls.googlevideo.com', 'rr3---sn-q4flrnee.googlevideo.com', 'rr1---sn-i3belnll.googlevideo.com', 'rr5---sn-i3belne6.googlevideo.com', 'youtube.com', 'www.youtube.com', 'i.ytimg.com', 'yt3.ggpht.com', 'accounts.youtube.com'}"
24-11-07--10-25-29,"{'www.google.com.hk', 'youtube.com', 'jnn-pa.googleapis.com', 'api.infinitynewtab.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'rr1---sn-i3belnl7.googlevideo.com', 'rr3---sn-q4flrnee.googlevideo.com', 'beacons.gcp.gvt2.com', 'www.gstatic.com', 'beacons.gvt2.com', 'optimizationguide-pa.googleapis.com', 'www.google.com', 'rr1---sn-i3belnll.googlevideo.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'basic-static-server.infinitynewtab.com', 'safebrowsing.googleapis.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'clientservices.googleapis.com', 'content-autofill.googleapis.com', 'e2c23.gcp.gvt2.com', 'fonts.gstatic.com', 'i.ytimg.com', 'clients2.google.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'www.youtube.com', 'fonts.googleapis.com', 'infinityicon.infinitynewtab.com', 'yt3.ggpht.com', 'accounts.youtube.com', 'chromewebstore.googleapis.com', 'rr2---sn-i3b7kn6s.googlevideo.com'}","{'youtube.com', 'rr1---sn-i3belnl7.googlevideo.com', 'rr3---sn-q4flrnee.googlevideo.com', 'rr1---sn-i3belnll.googlevideo.com', 'i.ytimg.com', 'www.youtube.com', 'yt3.ggpht.com', 'accounts.youtube.com', 'rr2---sn-i3b7kn6s.googlevideo.com'}"
24-11-07--10-32-20,"{'www.google.com.hk', 'youtube.com', 'rr2---sn-i3bssn7e.googlevideo.com', 'jnn-pa.googleapis.com', 'api.infinitynewtab.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'beacons.gcp.gvt2.com', 'www.gstatic.com', 'rr3---sn-q4flrnsl.googlevideo.com', 'optimizationguide-pa.googleapis.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'basic-static-server.infinitynewtab.com', 'safebrowsing.googleapis.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'clientservices.googleapis.com', 'content-autofill.googleapis.com', 'fonts.gstatic.com', 'i.ytimg.com', 'rr2---sn-aigl6nze.googlevideo.com', 'clients2.google.com', 'e2c41.gcp.gvt2.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'www.youtube.com', 'fonts.googleapis.com', 'infinityicon.infinitynewtab.com', 'yt3.ggpht.com', 'accounts.youtube.com', 'rr5---sn-i3b7knlk.googlevideo.com', 'storage.googleapis.com', 'rr2---sn-i3b7kn6s.googlevideo.com'}","{'youtube.com', 'rr2---sn-i3bssn7e.googlevideo.com', 'rr3---sn-q4flrnsl.googlevideo.com', 'i.ytimg.com', 'rr2---sn-aigl6nze.googlevideo.com', 'www.youtube.com', 'yt3.ggpht.com', 'accounts.youtube.com', 'rr5---sn-i3b7knlk.googlevideo.com', 'rr2---sn-i3b7kn6s.googlevideo.com'}"
24-11-07--11-08-34,"{'mosaic.scdn.co', 'lineup-images.scdn.co', 'open.spotifycdn.com', 'web-sdk-assets.spotifycdn.com', 'api.infinitynewtab.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'cdn.cookielaw.org', 'beacons.gcp.gvt2.com', 'www.googleoptimize.com', 'www.gstatic.com', 'optimizationguide-pa.googleapis.com', 'pixel-static.spotify.com', 'open-exp.spotifycdn.com', 'i.scdn.co', 'api.spotify.com', 'www.fastly-insights.com', 'www.google.com', 'nel.fastly-insights.com', 'accounts.google.com', 'android.clients.google.com', 'basic-static-server.infinitynewtab.com', 'api-partner.spotify.com', 'gae2-spclient.spotify.com', 'apresolve.spotify.com', 'clienttoken.spotify.com', 'pl.scdn.co', 'spclient.wg.spotify.com', 'safebrowsing.googleapis.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'open.spotify.com', 'pixel.spotify.com', 'o22381.ingest.sentry.io', 'clientservices.googleapis.com', 'content-autofill.googleapis.com', 'video-akpcw.spotifycdn.com', 'seektables.scdn.co', 'www.spotify.com', 'daily-mix.scdn.co', 'misc.scdn.co', 'clients2.google.com', 'geolocation.onetrust.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'gae2-dealer.spotify.com', 'audio-ak-spotify-com.akamaized.net', 'www.googletagmanager.com', 'infinityicon.infinitynewtab.com', 'accounts.youtube.com', 'encore.scdn.co', 'exp.wg.spotify.com'}","{'mosaic.scdn.co', 'lineup-images.scdn.co', 'open.spotifycdn.com', 'web-sdk-assets.spotifycdn.com', 'pixel-static.spotify.com', 'open-exp.spotifycdn.com', 'i.scdn.co', 'api.spotify.com', 'api-partner.spotify.com', 'gae2-spclient.spotify.com', 'apresolve.spotify.com', 'clienttoken.spotify.com', 'pl.scdn.co', 'spclient.wg.spotify.com', 'open.spotify.com', 'pixel.spotify.com', 'video-akpcw.spotifycdn.com', 'seektables.scdn.co', 'www.spotify.com', 'daily-mix.scdn.co', 'misc.scdn.co', 'gae2-dealer.spotify.com', 'audio-ak-spotify-com.akamaized.net', 'encore.scdn.co', 'exp.wg.spotify.com'}"
24-11-07--11-24-21,"{'b1.nel.goog', 'mosaic.scdn.co', 'lineup-images.scdn.co', 'open.spotifycdn.com', 'web-sdk-assets.spotifycdn.com', 'api.infinitynewtab.com', 'e2c27.gcp.gvt2.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'cdn.cookielaw.org', 'beacons.gcp.gvt2.com', 'www.googleoptimize.com', 'www.gstatic.com', 'beacons.gvt2.com', 'optimizationguide-pa.googleapis.com', 'pixel-static.spotify.com', 'open-exp.spotifycdn.com', 'i.scdn.co', 'api.spotify.com', 'www.fastly-insights.com', 'www.google.com', 'static.hotjar.com', 'accounts.google.com', 'android.clients.google.com', 'basic-static-server.infinitynewtab.com', 'api-partner.spotify.com', 'gae2-spclient.spotify.com', 'clienttoken.spotify.com', 'apresolve.spotify.com', 'pl.scdn.co', 'spclient.wg.spotify.com', 'safebrowsing.googleapis.com', 'clients4.google.com', 'open.spotify.com', 'www.googleapis.com', 'pixel.spotify.com', 'video-akpcw.spotifycdn.com', 'o22381.ingest.sentry.io', 'clientservices.googleapis.com', 'content-autofill.googleapis.com', 'update.googleapis.com', 'seektables.scdn.co', 'www.spotify.com', 'daily-mix.scdn.co', 'misc.scdn.co', 'clients2.google.com', 'geolocation.onetrust.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'gae2-dealer.spotify.com', 'audio-ak-spotify-com.akamaized.net', 'www.googletagmanager.com', 'infinityicon.infinitynewtab.com', 'script.hotjar.com', 'encore.scdn.co', 'exp.wg.spotify.com'}","{'mosaic.scdn.co', 'lineup-images.scdn.co', 'open.spotifycdn.com', 'web-sdk-assets.spotifycdn.com', 'pixel-static.spotify.com', 'open-exp.spotifycdn.com', 'i.scdn.co', 'api.spotify.com', 'api-partner.spotify.com', 'gae2-spclient.spotify.com', 'clienttoken.spotify.com', 'apresolve.spotify.com', 'pl.scdn.co', 'spclient.wg.spotify.com', 'open.spotify.com', 'pixel.spotify.com', 'video-akpcw.spotifycdn.com', 'seektables.scdn.co', 'www.spotify.com', 'daily-mix.scdn.co', 'misc.scdn.co', 'gae2-dealer.spotify.com', 'audio-ak-spotify-com.akamaized.net', 'encore.scdn.co', 'exp.wg.spotify.com'}"
24-11-07--11-31-59,"{'clients4.google.com', 'mosaic.scdn.co', 'lineup-images.scdn.co', 'open.spotifycdn.com', 'web-sdk-assets.spotifycdn.com', 'api.infinitynewtab.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'cdn.cookielaw.org', 'beacons.gcp.gvt2.com', 'www.googleoptimize.com', 'www.gstatic.com', 'optimizationguide-pa.googleapis.com', 'pixel-static.spotify.com', 'open-exp.spotifycdn.com', 'i.scdn.co', 'api.spotify.com', 'www.fastly-insights.com', 'www.google.com', '269136df-0778-46ca-b7d1-d8b03689ff56.us.u.fastly-insights.com', 'accounts.google.com', 'android.clients.google.com', 'fastly-insights.com', 'dtw-v4.pops.fastly-insights.com', 'basic-static-server.infinitynewtab.com', 'fty-v4.pops.fastly-insights.com', 'api-partner.spotify.com', 'gae2-spclient.spotify.com', 'apresolve.spotify.com', 'clienttoken.spotify.com', 'pl.scdn.co', 'spclient.wg.spotify.com', 'safebrowsing.googleapis.com', 'open.spotify.com', 'update.googleapis.com', 'www.googleapis.com', 'pixel.spotify.com', 'video-akpcw.spotifycdn.com', 'o22381.ingest.sentry.io', 'clientservices.googleapis.com', 'content-autofill.googleapis.com', 'qpg-v4.pops.fastly-insights.com', 'seektables.scdn.co', 'www.spotify.com', 'daily-mix.scdn.co', 'wlg-v4.pops.fastly-insights.com', 'misc.scdn.co', 'clients2.google.com', 'geolocation.onetrust.com', 'kbur-v4.pops.fastly-insights.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'gae2-dealer.spotify.com', 'audio-ak-spotify-com.akamaized.net', 'bare-v4.pops.fastly-insights.com', 'www.googletagmanager.com', 'tyo-v4.pops.fastly-insights.com', 'infinityicon.infinitynewtab.com', 'accounts.youtube.com', 'cph-v4.pops.fastly-insights.com', 'rjtf-v4.pops.fastly-insights.com', 'encore.scdn.co', 'exp.wg.spotify.com'}","{'mosaic.scdn.co', 'lineup-images.scdn.co', 'open.spotifycdn.com', 'web-sdk-assets.spotifycdn.com', 'pixel-static.spotify.com', 'open-exp.spotifycdn.com', 'i.scdn.co', 'api.spotify.com', 'api-partner.spotify.com', 'gae2-spclient.spotify.com', 'apresolve.spotify.com', 'clienttoken.spotify.com', 'pl.scdn.co', 'spclient.wg.spotify.com', 'open.spotify.com', 'pixel.spotify.com', 'video-akpcw.spotifycdn.com', 'seektables.scdn.co', 'www.spotify.com', 'daily-mix.scdn.co', 'misc.scdn.co', 'gae2-dealer.spotify.com', 'audio-ak-spotify-com.akamaized.net', 'encore.scdn.co', 'exp.wg.spotify.com'}"
24-11-07--15-15-47,"{'docs.google.com', 'myaccount.google.com', 'api.infinitynewtab.com', 'youtube.googleapis.com', 'ogs.google.com', 'infinity-permanent.infinitynewtab.com', 'ssl.gstatic.com', 'mtalk.google.com', 'accounts.google.com.hk', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'accountcapabilities-pa.googleapis.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'ai.immersivetranslate.com', 'www.google.com', 'accounts.google.com', 'play.google.com', 'android.clients.google.com', 'signaler-pa.clients6.google.com', 'basic-static-server.infinitynewtab.com', 'drive-thirdparty.googleusercontent.com', 'drive.google.com', 'apis.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'gds.google.com', 'clients2.google.com', 'config.immersivetranslate.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'fonts.googleapis.com', 'ogads-pa.clients6.google.com', 'contacts.google.com', 'infinityicon.infinitynewtab.com', 'accounts.youtube.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}","{'docs.google.com', 'myaccount.google.com', 'ogs.google.com', 'ssl.gstatic.com', 'mtalk.google.com', 'accounts.google.com.hk', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'accountcapabilities-pa.googleapis.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'www.google.com', 'accounts.google.com', 'play.google.com', 'android.clients.google.com', 'signaler-pa.clients6.google.com', 'drive-thirdparty.googleusercontent.com', 'drive.google.com', 'apis.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'gds.google.com', 'clients2.google.com', 'contacts.google.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}"
24-11-07--15-36-37,"{'docs.google.com', 'api.infinitynewtab.com', 'youtube.googleapis.com', 'ogs.google.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'ssl.gstatic.com', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'drive-thirdparty.googleusercontent.com', 'basic-static-server.infinitynewtab.com', 'signaler-pa.clients6.google.com', 'drive.google.com', 'apis.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'clients2.google.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'fonts.googleapis.com', 'ogads-pa.clients6.google.com', 'contacts.google.com', 'infinityicon.infinitynewtab.com', 'accounts.youtube.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}","{'docs.google.com', 'youtube.googleapis.com', 'ogs.google.com', 'mtalk.google.com', 'ssl.gstatic.com', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'drive-thirdparty.googleusercontent.com', 'signaler-pa.clients6.google.com', 'drive.google.com', 'apis.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'clients2.google.com', 'ogads-pa.clients6.google.com', 'contacts.google.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}"
24-11-07--15-38-38,"{'docs.google.com', 'api.infinitynewtab.com', 'youtube.googleapis.com', 'ogs.google.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'ssl.gstatic.com', 'accounts.google.com.hk', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'accountcapabilities-pa.googleapis.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'drive-thirdparty.googleusercontent.com', 'basic-static-server.infinitynewtab.com', 'signaler-pa.clients6.google.com', 'drive.google.com', 'apis.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'clients2.google.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'fonts.googleapis.com', 'ogads-pa.clients6.google.com', 'contacts.google.com', 'infinityicon.infinitynewtab.com', 'accounts.youtube.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}","{'docs.google.com', 'youtube.googleapis.com', 'ogs.google.com', 'mtalk.google.com', 'ssl.gstatic.com', 'accounts.google.com.hk', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'accountcapabilities-pa.googleapis.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'drive-thirdparty.googleusercontent.com', 'signaler-pa.clients6.google.com', 'drive.google.com', 'apis.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'clients2.google.com', 'ogads-pa.clients6.google.com', 'contacts.google.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}"
24-11-07--15-41-25,"{'drive.usercontent.google.com', 'docs.google.com', 'api.infinitynewtab.com', 'youtube.googleapis.com', 'ogs.google.com', 'infinity-permanent.infinitynewtab.com', 'mtalk.google.com', 'ssl.gstatic.com', 'accounts.google.com.hk', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'accountcapabilities-pa.googleapis.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'sb-ssl.google.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'drive-thirdparty.googleusercontent.com', 'basic-static-server.infinitynewtab.com', 'signaler-pa.clients6.google.com', 'drive.google.com', 'apis.google.com', 'peoplestack-pa.clients6.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'clients2.google.com', 'infinitypro-img.infinitynewtab.com', 'weatheroffer.com', 'fonts.googleapis.com', 'ogads-pa.clients6.google.com', 'contacts.google.com', 'peoplestackwebexperiments-pa.clients6.google.com', 'infinityicon.infinitynewtab.com', 'lh5.googleusercontent.com', 'accounts.youtube.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}","{'drive.usercontent.google.com', 'docs.google.com', 'youtube.googleapis.com', 'ogs.google.com', 'mtalk.google.com', 'ssl.gstatic.com', 'accounts.google.com.hk', 'www.gstatic.com', 'drivefrontend-pa.clients6.google.com', 'accountcapabilities-pa.googleapis.com', 'people-pa.clients6.google.com', 'optimizationguide-pa.googleapis.com', 'sb-ssl.google.com', 'www.google.com', 'accounts.google.com', 'android.clients.google.com', 'play.google.com', 'drive-thirdparty.googleusercontent.com', 'signaler-pa.clients6.google.com', 'drive.google.com', 'apis.google.com', 'peoplestack-pa.clients6.google.com', 'clients4.google.com', 'update.googleapis.com', 'www.googleapis.com', 'addons-pa.clients6.google.com', 'clientservices.googleapis.com', 'waa-pa.clients6.google.com', 'fonts.gstatic.com', 'clients6.google.com', 'clients2.google.com', 'ogads-pa.clients6.google.com', 'contacts.google.com', 'peoplestackwebexperiments-pa.clients6.google.com', 'lh5.googleusercontent.com', 'lh3.googleusercontent.com', 'content-autofill.googleapis.com'}"
