Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
198.18.0.1,62054,198.18.0.29,443,10463,8037560,58,4624,503255,5839,7534305,7.861092,277.829466,14491.0,216947.0,163
198.18.0.1,62080,198.18.0.34,443,103856,83772067,68,45137,2845950,58719,80926117,10.230897,272.316152,83607.0,2377416.0,60
198.18.0.1,62220,198.18.0.55,443,202,40245,148,96,22983,106,17262,69.495072,214.786567,856.0,642.0,35
198.18.0.1,62057,198.18.0.30,443,671,467359,59,287,21735,384,445624,8.568104,269.484096,645.0,13228.0,27
198.18.0.1,62130,198.18.0.45,443,148,37827,100,73,18231,75,19596,12.091529,267.00792900000005,546.0,587.0,25
198.18.0.1,62100,198.18.0.42,443,261,142172,81,114,10277,147,131895,10.938871,249.151294,329.0,4235.0,20
198.18.0.1,61949,198.18.0.13,443,1587,1255336,14,688,47971,899,1207365,3.492075,2.0065990000000005,191252.0,4813577.0,18
198.18.0.1,62070,198.18.0.33,443,697,341492,65,307,28453,390,313039,9.402303,244.220696,932.0,10254.0,18
198.18.0.1,62242,198.18.0.62,443,104,20429,158,49,7078,55,13351,81.111901,200.190207,282.0,533.0,18
198.18.0.1,62238,198.18.0.60,443,90,18508,156,43,5738,47,12770,78.932527,202.21334,227.0,505.0,15
198.18.0.1,62090,198.18.0.11,443,92,21321,75,42,6287,50,15034,10.346374,241.275983,208.0,498.0,14
198.18.0.1,62086,198.18.0.37,443,180,92434,72,79,9089,101,83345,10.329474,241.553452,301.0,2760.0,14
198.18.0.1,62102,198.18.0.42,443,141,40227,82,65,8077,76,32150,11.032369,242.450092,266.0,1060.0,14
198.18.0.1,62206,198.18.0.8,443,213,139417,142,124,130954,89,8463,61.821341,220.904993,4742.0,306.0,13
198.18.0.1,62027,198.18.0.26,443,116,23690,50,58,6306,58,17384,5.540404,278.07622,181.0,500.0,13
198.18.0.1,62051,198.18.0.28,443,113,36809,56,52,6433,61,30376,7.859312,245.429866,209.0,990.0,12
198.18.0.1,62366,198.18.0.44,443,41,15174,205,18,4495,23,10679,255.301284,22.76017999999999,1579.0,3753.0,11
198.18.0.1,62223,198.18.0.55,443,75,14848,150,36,5270,39,9578,75.512746,206.236132,204.0,371.0,11
198.18.0.1,62234,198.18.0.58,443,82,17391,154,39,5034,43,12357,77.230844,196.73413,204.0,502.0,11
198.18.0.1,62310,198.18.0.58,443,61,16266,180,29,4482,32,11784,190.611251,90.918964,394.0,1036.0,11
198.18.0.1,62311,198.18.0.64,443,60,17412,181,28,4852,32,12560,190.611395,90.90325800000002,427.0,1105.0,11
198.18.0.1,62106,198.18.0.11,443,81,16440,84,39,6572,42,9868,11.268716,241.588422,217.0,326.0,10
198.18.0.1,62118,198.18.0.12,443,119,53341,91,54,6209,65,47132,11.461354,241.335937,205.0,1562.0,10
198.18.0.1,61955,198.18.0.14,443,214,119005,20,90,8927,124,110078,3.509255,1.996919,35763.0,440991.0,10
198.18.0.1,62047,198.18.0.18,443,87,16284,54,43,8366,44,7918,5.7476,258.076232,259.0,245.0,10
198.18.0.1,62061,198.18.0.31,443,113,41662,62,51,5684,62,35978,8.752728,244.175666,186.0,1178.0,10
198.18.0.1,62111,198.18.0.44,443,156,77393,87,70,7003,86,70390,11.304987,241.05265,232.0,2336.0,10
198.18.0.1,62222,198.18.0.11,443,79,15098,149,39,5476,40,9622,75.512564,196.219755,223.0,392.0,9
198.18.0.1,61939,198.18.0.4,443,34,15157,9,16,7161,18,7996,2.983286,0.8324189999999998,68821.0,76845.0,8
