Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,62056,221.5.100.174,2064,5220,4107724,56,1918,466679,3302,3641045,7.863643,277.861816,13436,104830,165
192.168.5.2,61854,120.53.53.53,443,572,100489,5,282,28806,290,71683,0.963661,277.173242,831,2068,136
192.168.5.2,61852,223.5.5.5,443,498,69429,6,227,24585,271,44844,0.963684,277.126384,709,1294,126
192.168.5.2,62081,221.5.100.174,2064,39988,40077981,69,11254,1011306,28734,39066675,10.233891,272.31451000000004,29709,1147692,60
192.168.5.2,62221,120.232.217.159,2064,185,64059,119,85,47637,100,16422,69.497904,214.9014,1773,611,35
192.168.5.2,62060,221.5.100.174,2064,503,309526,57,198,35695,305,273831,8.571173,269.559487,1059,8126,27
192.168.5.2,62131,221.5.100.174,2064,144,56332,88,64,34790,80,21542,12.094879,267.083361,1042,645,25
192.168.5.2,62101,221.5.100.174,2064,210,117166,76,83,27701,127,89465,10.942239,249.347292,888,2870,20
192.168.5.2,61964,122.192.189.41,443,722,657306,18,218,21647,504,635659,3.585303,1.9147069999999995,90445,2655900,18
192.168.5.2,62071,221.5.100.174,2064,505,279506,65,211,78248,294,201258,9.40509,244.42788,2561,6587,18
192.168.5.2,62239,103.166.52.49,2064,83,27140,127,38,15954,45,11186,78.935482,202.33207000000004,630,442,15
192.168.5.2,62087,221.5.100.174,2064,153,75561,71,61,17323,92,58238,10.333361,241.744776,573,1927,14
192.168.5.2,62091,221.5.100.174,2064,85,30061,72,39,14172,46,15889,10.349565,241.468618,469,526,14
192.168.5.2,62104,221.5.100.174,2064,129,52804,77,58,24169,71,28635,11.035587,242.646306,796,944,14
192.168.5.2,62243,103.166.52.49,2064,99,33223,129,48,21440,51,11783,81.114822,200.558533,855,470,14
192.168.5.2,62043,221.5.100.174,2064,103,29383,48,49,14557,54,14826,5.643274,278.250178,418,426,13
192.168.5.2,62207,221.5.100.174,2064,268,156923,112,143,144410,125,12513,61.825315,221.49917500000004,5215,451,13
192.168.5.2,62052,221.5.100.174,2064,94,34327,54,42,13135,52,21192,7.862322,245.627036,427,690,12
192.168.5.2,62224,103.166.52.49,2064,75,25953,120,35,15347,40,10606,75.515349,206.518968,594,410,11
192.168.5.2,62235,103.166.52.49,2064,73,25299,125,35,14846,38,10453,77.233959,197.222491,602,424,11
192.168.5.2,62312,221.5.100.174,2064,55,21539,149,24,11222,31,10317,190.614091,91.18511399999996,984,905,11
192.168.5.2,62313,221.5.100.174,2064,56,21507,150,26,11627,30,9880,190.614147,91.18505799999996,1020,866,11
