inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,61931,198.18.0.62,443,192.168.5.2,61932,120.232.217.159,2064
198.18.0.1,61945,198.18.0.63,443,192.168.5.2,61951,119.188.204.71,443
198.18.0.1,61956,198.18.0.64,443,192.168.5.2,61960,20.189.109.65,443
198.18.0.1,61994,180.109.192.65,80,192.168.5.2,61995,180.109.192.65,80
198.18.0.1,61996,119.145.128.139,6881,192.168.5.2,61997,119.145.128.139,6881
198.18.0.1,62029,198.18.0.66,443,192.168.5.2,62030,120.232.217.159,2064
198.18.0.1,62051,198.18.0.70,443,192.168.5.2,62058,221.5.100.174,2064
198.18.0.1,62053,198.18.0.71,443,192.168.5.2,62063,122.96.235.163,443
198.18.0.1,62054,198.18.0.71,443,192.168.5.2,62062,122.96.235.163,443
198.18.0.1,62080,198.18.0.9,80,192.168.5.2,62082,157.0.148.1,80
198.18.0.1,62102,140.207.120.159,443,192.168.5.2,62106,140.207.120.159,443
198.18.0.1,62100,140.207.120.159,443,192.168.5.2,62104,140.207.120.159,443
198.18.0.1,62110,140.207.124.177,443,192.168.5.2,62111,140.207.124.177,443
198.18.0.1,62115,116.128.171.220,443,192.168.5.2,62116,116.128.171.220,443
198.18.0.1,62119,140.207.124.177,443,192.168.5.2,62120,140.207.124.177,443
198.18.0.1,62121,116.128.171.220,443,192.168.5.2,62122,116.128.171.220,443
198.18.0.1,62130,222.79.113.63,443,192.168.5.2,62131,222.79.113.63,443
198.18.0.1,62142,198.18.0.73,443,192.168.5.2,62143,221.5.100.174,2064
198.18.0.1,62146,198.18.0.9,80,192.168.5.2,62148,157.0.148.1,80
198.18.0.1,62222,198.18.0.9,80,192.168.5.2,62224,157.0.148.1,80
198.18.0.1,62242,198.18.0.81,443,192.168.5.2,62243,103.216.253.85,2064
198.18.0.1,61931,198.18.0.8,443,192.168.5.2,61932,221.5.100.174,2064
198.18.0.1,61955,198.18.0.14,443,192.168.5.2,61960,61.156.44.221,443
198.18.0.1,61949,198.18.0.13,443,192.168.5.2,61964,122.192.189.41,443
198.18.0.1,61945,198.18.0.9,443,192.168.5.2,61958,221.5.100.174,2064
198.18.0.1,61947,198.18.0.11,443,192.168.5.2,61974,221.5.100.174,2064
198.18.0.1,61948,198.18.0.12,443,192.168.5.2,61973,221.5.100.174,2064
198.18.0.1,61956,198.18.0.15,443,192.168.5.2,61976,101.69.128.55,443
198.18.0.1,61946,198.18.0.10,443,192.168.5.2,61975,221.5.100.174,2064
198.18.0.1,61989,198.18.0.17,443,192.168.5.2,61992,121.43.167.86,443
198.18.0.1,61995,198.18.0.11,443,192.168.5.2,61999,221.5.100.174,2064
198.18.0.1,61996,198.18.0.18,443,192.168.5.2,62000,221.5.100.174,2064
198.18.0.1,61997,198.18.0.19,443,192.168.5.2,62001,221.5.100.174,2064
198.18.0.1,61994,198.18.0.17,443,192.168.5.2,62002,121.43.167.86,443
198.18.0.1,62009,198.18.0.22,443,192.168.5.2,62012,221.5.100.174,2064
198.18.0.1,62020,198.18.0.25,5228,192.168.5.2,62035,221.5.100.174,2064
198.18.0.1,62027,198.18.0.26,443,192.168.5.2,62043,221.5.100.174,2064
198.18.0.1,62026,198.18.0.22,443,192.168.5.2,62044,221.5.100.174,2064
198.18.0.1,62028,198.18.0.23,443,192.168.5.2,62045,221.5.100.174,2064
198.18.0.1,62029,198.18.0.24,443,192.168.5.2,62046,221.5.100.174,2064
198.18.0.1,62047,198.18.0.18,443,192.168.5.2,62048,221.5.100.174,2064
198.18.0.1,62051,198.18.0.28,443,192.168.5.2,62052,221.5.100.174,2064
198.18.0.1,62054,198.18.0.29,443,192.168.5.2,62056,221.5.100.174,2064
198.18.0.1,62053,198.18.0.29,443,192.168.5.2,62055,221.5.100.174,2064
198.18.0.1,62058,198.18.0.30,443,192.168.5.2,62059,221.5.100.174,2064
198.18.0.1,62057,198.18.0.30,443,192.168.5.2,62060,221.5.100.174,2064
198.18.0.1,62061,198.18.0.31,443,192.168.5.2,62064,221.5.100.174,2064
198.18.0.1,62062,198.18.0.32,443,192.168.5.2,62065,221.5.100.174,2064
198.18.0.1,62063,198.18.0.32,443,192.168.5.2,62066,221.5.100.174,2064
198.18.0.1,62025,198.18.0.20,443,192.168.5.2,62067,221.5.100.174,2064
198.18.0.1,61998,198.18.0.20,443,192.168.5.2,62068,221.5.100.174,2064
198.18.0.1,62015,198.18.0.20,443,192.168.5.2,62069,221.5.100.174,2064
198.18.0.1,62070,198.18.0.33,443,192.168.5.2,62071,221.5.100.174,2064
198.18.0.1,62080,198.18.0.34,443,192.168.5.2,62081,221.5.100.174,2064
198.18.0.1,62084,198.18.0.36,443,192.168.5.2,62085,221.5.100.174,2064
198.18.0.1,62086,198.18.0.37,443,192.168.5.2,62087,221.5.100.174,2064
198.18.0.1,62090,198.18.0.11,443,192.168.5.2,62091,221.5.100.174,2064
198.18.0.1,62098,198.18.0.41,443,192.168.5.2,62099,221.5.100.174,2064
198.18.0.1,62100,198.18.0.42,443,192.168.5.2,62101,221.5.100.174,2064
198.18.0.1,62102,198.18.0.42,443,192.168.5.2,62104,221.5.100.174,2064
198.18.0.1,62106,198.18.0.11,443,192.168.5.2,62108,221.5.100.174,2064
198.18.0.1,62110,198.18.0.43,443,192.168.5.2,62112,221.5.100.174,2064
198.18.0.1,62111,198.18.0.44,443,192.168.5.2,62113,221.5.100.174,2064
198.18.0.1,62115,198.18.0.45,443,192.168.5.2,62117,221.5.100.174,2064
198.18.0.1,62114,198.18.0.45,443,192.168.5.2,62116,221.5.100.174,2064
198.18.0.1,62118,198.18.0.12,443,192.168.5.2,62120,221.5.100.174,2064
198.18.0.1,62119,198.18.0.39,443,192.168.5.2,62122,221.5.100.174,2064
198.18.0.1,62121,198.18.0.39,443,192.168.5.2,62123,221.5.100.174,2064
198.18.0.1,62130,198.18.0.45,443,192.168.5.2,62131,221.5.100.174,2064
198.18.0.1,62138,198.18.0.49,443,192.168.5.2,62139,221.5.100.174,2064
198.18.0.1,62143,198.18.0.50,443,192.168.5.2,62144,221.5.100.174,2064
198.18.0.1,62142,198.18.0.50,443,192.168.5.2,62145,221.5.100.174,2064
198.18.0.1,62146,198.18.0.33,443,192.168.5.2,62147,221.5.100.174,2064
198.18.0.1,62152,198.18.0.51,443,192.168.5.2,62154,119.188.204.71,443
198.18.0.1,62161,198.18.0.50,443,192.168.5.2,62162,221.5.100.174,2064
198.18.0.1,62163,198.18.0.50,443,192.168.5.2,62164,221.5.100.174,2064
198.18.0.1,62165,198.18.0.52,443,192.168.5.2,62167,119.188.204.71,443
198.18.0.1,62206,198.18.0.8,443,192.168.5.2,62207,221.5.100.174,2064
198.18.0.1,62208,198.18.0.24,443,192.168.5.2,62209,120.232.217.159,2064
198.18.0.1,62212,198.18.0.18,443,192.168.5.2,62213,120.232.217.159,2064
198.18.0.1,62220,198.18.0.55,443,192.168.5.2,62221,120.232.217.159,2064
198.18.0.1,62222,198.18.0.11,443,192.168.5.2,62225,103.166.52.49,2064
198.18.0.1,62223,198.18.0.55,443,192.168.5.2,62224,103.166.52.49,2064
198.18.0.1,62234,198.18.0.58,443,192.168.5.2,62235,103.166.52.49,2064
198.18.0.1,62238,198.18.0.60,443,192.168.5.2,62239,103.166.52.49,2064
198.18.0.1,62242,198.18.0.62,443,192.168.5.2,62243,103.166.52.49,2064
198.18.0.1,62278,198.18.0.63,443,192.168.5.2,62279,221.5.100.174,2064
198.18.0.1,62310,198.18.0.58,443,192.168.5.2,62313,221.5.100.174,2064
198.18.0.1,62311,198.18.0.64,443,192.168.5.2,62312,221.5.100.174,2064
198.18.0.1,62360,198.18.0.68,443,192.168.5.2,62361,120.232.217.159,2064
198.18.0.1,62366,198.18.0.44,443,192.168.5.2,62370,120.232.217.159,2064
