,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,61931,198.18.0.62,443,192.168.5.2,61932,120.232.217.159,2064,198.18.0.1,61931,198.18.0.8,443,38,14615,7,1.9417,3.5414770000000004,7,clientservices.googleapis.com,192.168.5.2,61932,221.5.100.174,2064,41,19298,12,2.134927,3.5472680000000003,7
1,198.18.0.1,61931,198.18.0.8,443,192.168.5.2,61932,221.5.100.174,2064,198.18.0.1,61931,198.18.0.8,443,38,14615,7,1.9417,3.5414770000000004,7,clientservices.googleapis.com,192.168.5.2,61932,221.5.100.174,2064,41,19298,12,2.134927,3.5472680000000003,7
2,198.18.0.1,61945,198.18.0.9,443,192.168.5.2,61958,221.5.100.174,2064,198.18.0.1,61945,198.18.0.9,443,46,16751,10,3.458791,2.027524,8,www.googleapis.com,192.168.5.2,61958,221.5.100.174,2064,43,21144,15,3.562034,2.132773,8
3,198.18.0.1,61956,198.18.0.64,443,192.168.5.2,61960,20.189.109.65,443,198.18.0.1,61956,198.18.0.15,443,258,145859,21,3.535013,1.965789,8,infinitypro-img.infinitynewtab.com,192.168.5.2,61960,61.156.44.221,443,124,88410,16,3.565384,1.9422300000000003,10
4,198.18.0.1,61955,198.18.0.14,443,192.168.5.2,61960,61.156.44.221,443,198.18.0.1,61955,198.18.0.14,443,214,119005,20,3.509255,1.996919,10,infinity-permanent.infinitynewtab.com,192.168.5.2,61960,61.156.44.221,443,124,88410,16,3.565384,1.9422300000000003,10
5,198.18.0.1,61956,198.18.0.15,443,192.168.5.2,61976,101.69.128.55,443,198.18.0.1,61956,198.18.0.15,443,258,145859,21,3.535013,1.965789,8,infinitypro-img.infinitynewtab.com,192.168.5.2,61976,101.69.128.55,443,119,91616,26,3.777682,1.7244740000000005,8
6,198.18.0.1,61994,198.18.0.17,443,192.168.5.2,62002,121.43.167.86,443,198.18.0.1,61994,198.18.0.17,443,12,5280,30,4.259556,0.2341740000000003,2,api.infinitynewtab.com,192.168.5.2,62002,121.43.167.86,443,16,6901,36,4.462911,0.032515,1
7,198.18.0.1,61996,198.18.0.18,443,192.168.5.2,62000,221.5.100.174,2064,198.18.0.1,61996,198.18.0.18,443,54,25346,32,4.280917,1.25422,8,clients4.google.com,192.168.5.2,62000,221.5.100.174,2064,50,27412,34,4.383591,1.343699,8
8,198.18.0.1,62029,198.18.0.66,443,192.168.5.2,62030,120.232.217.159,2064,198.18.0.1,62029,198.18.0.24,443,85,21840,52,5.540814,241.063194,8,update.googleapis.com,192.168.5.2,62030,221.5.100.174,2064,17,4007,40,5.576606,0.4116230000000005,1
9,198.18.0.1,62029,198.18.0.24,443,192.168.5.2,62046,221.5.100.174,2064,198.18.0.1,62029,198.18.0.24,443,85,21840,52,5.540814,241.063194,8,update.googleapis.com,192.168.5.2,62046,221.5.100.174,2064,84,25167,51,5.643769,241.162554,8
